Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0012086032805087813,0.003329205390038774,0.002986825065926947,0.0017409605803336533
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.005198337906210113,0.005741051420263028,0.003140503731493401,0.0019923891812760612
Industrias manufactureras,0.0009163701143546498,0.0008477363538833499,0.0006329935042933267,0.00039642383504127205
Comercio al por mayor,0.0031787463848674926,0.003824290867795539,0.00333358587797703,0.002710068635918701
Comercio al por menor,0.004973515885613406,0.004465354585607622,0.004192895052206353,0.0038967901117501
"Transportes, correos y almacenamiento",0.004679902697392524,0.004982055719643295,0.004413969613699255,0.0024714551488255188
Información en medios masivos,0.013385154606984404,0.0023172461049002454,0.0012839701531239989,0.0009527404807536768
Servicios financieros y de seguros,8.439518736380671e-05,8.814914281021748e-05,0.00015736391189467294,0.0001447607784097607
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.001194742353681435,0.0021374410282120663,0.0005122172074141947,0.0014282018552502968
"Servicios profesionales, científicos y técnicos",0.0017493434161978993,0.0015883489396774258,0.001152136458014115,0.0018511477929613657
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0007352111663713952,0.0015577407143910562,0.0009846218915399124,0.0013668509397784085
Servicios educativos,0.0019740001623068976,0.004013685708488928,0.0034391235762205635,0.0029047633902031106
Servicios de salud y de asistencia social,0.0024775440259746213,0.0021675851780046307,0.0025938221129587174,0.0027106592131768267
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0032163031635443528,0.0028987279547039503,0.001342662785763748,0.0017065145202251797
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.0029833281781843214,0.0029262141566050452,0.002056052536233769,0.002817171622646923
Otros servicios excepto actividades gubernamentales,-0.0006395652761746136,0.002564189723990915,0.0022818942146051995,0.0031759360319908226
Total,0.0016467142833525743,0.0015341492962332942,0.0015259326715588628,0.0013854862053833252
