Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",26.74,237.65,59.03,55.96
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,213.69,213.55,205.28,280.83
Industrias manufactureras,33.06,17.33,17.81,12.43
Comercio al por mayor,255.36,214.4,182.27,311.14
Comercio al por menor,203.83,129.39,148.28,185.22
"Transportes, correos y almacenamiento",121.78,52.36,75.81,39.37
Información en medios masivos,1080.02,963.29,88.92,457.64
Servicios financieros y de seguros,14875.34,1103.51,5187.54,4703.2
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,87.62,154.68,103.6,143.19
"Servicios profesionales, científicos y técnicos",120.19,214.95,291.34,396.51
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",74.9,185.03,161.24,270.49
Servicios educativos,191.99,84.92,160.59,199.58
Servicios de salud y de asistencia social,159.45,92.57,132.56,146.9
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",643.58,247.67,435.79,520.68
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,180.95,133.75,174.6,205.14
Otros servicios excepto actividades gubernamentales,-118.66,81.92,79.6,131.74
Total,100.0,100.0,100.0,100.0
