Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.001763993378563122,0.0013708670438935958,0.0024097944820034565,0.003133479243008321
Industrias manufactureras,0.001530653418322666,0.0015742482739684322,0.001852332625493866,0.0027664477736290866
Comercio al por mayor,0.003006111011010962,0.002308878212306087,0.0024662969900062985,0.0017474885546272289
Comercio al por menor,0.004550758445185395,0.003660178303674235,0.003883233625528882,0.0038254194030411578
"Transportes, correos y almacenamiento",0.014186179722506615,0.015358042254135602,0.012612964485757933,0.015268705911277165
Información en medios masivos,0.0,0.0006138150499141337,0.0,0.000795207690868529
Servicios financieros y de seguros,6.439615013864305e-05,0.00011138884355344929,0.00023101735920079178,0.00020265506430567907
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.00472090437314167,0.003133559173078332,0.0010967333595648552,0.0023545226355874997
"Servicios profesionales, científicos y técnicos",0.0017836548717525987,0.0015218549065532058,0.0010740944499676606,0.0013499453065176372
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0019436315747473557,0.001848283476394966,0.0014631288994110749,0.0011796314516672236
Servicios educativos,0.0022551732367818225,0.004117149993074761,0.002002785040361725,0.0022306412786239293
Servicios de salud y de asistencia social,0.003019838792777029,0.003172959080055348,0.002745246217112853,0.003346414118064662
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0007853080120418455,0.006100855094973612,0.0007284797422848654,0.0011656337286080499
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.0032961256206890588,0.003282809974302615,0.002901426917572843,0.0030881015074381173
Otros servicios excepto actividades gubernamentales,0.002644334249087056,0.0035167313745652876,0.0044761567876463815,0.004065349056383456
Total,0.0019104930209027436,0.0020139209956874693,0.0021364858149322884,0.00275251492473051
