Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,171.76,118.93,199.41,357.19
Industrias manufactureras,32.73,38.33,44.4,59.78
Comercio al por mayor,492.51,271.72,252.96,136.32
Comercio al por menor,447.21,210.53,159.7,105.02
"Transportes, correos y almacenamiento",2053.62,489.53,429.76,159.7
Información en medios masivos,,2243.51,,632.43
Servicios financieros y de seguros,9032.45,3851.5,998.01,666.06
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,576.14,382.26,160.89,282.91
"Servicios profesionales, científicos y técnicos",288.99,91.38,300.55,153.87
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",532.63,175.59,273.73,144.03
Servicios educativos,464.28,211.79,70.26,76.52
Servicios de salud y de asistencia social,555.41,331.19,187.35,90.52
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",526.33,2604.33,579.76,200.02
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,591.23,350.97,296.52,132.53
Otros servicios excepto actividades gubernamentales,264.49,258.51,210.58,116.24
Total,100.0,100.0,100.0,100.0
