Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.610156429578969,0.8003168126294616,3.6169933489566874,8.179173454934553
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,3.3058943455388947,2.8715497952505453,,6.868486339655362
Industrias manufactureras,6.3902145300301205,3.7177224269001563,3.509070450065621,4.100123513819186
Comercio al por mayor,0.4008077930991603,0.3229873320391005,0.3654076603109698,0.260019576599178
Comercio al por menor,0.7717226222308916,0.8408264851989771,0.8109915204557472,0.7649800705131387
"Transportes, correos y almacenamiento",3.0732890456524515,2.156827550515463,2.7430800967516613,3.5969591591711687
Información en medios masivos,8.543811894963142,5.433781907109631,1.5231052605399025,0.5980788754318114
Servicios financieros y de seguros,0.011426510104487949,0.07770773842059726,0.06115087382262437,0.05288135938502779
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,7.3031940965817554,3.1993244533412524,1.6702197967061754,1.6103252628013165
"Servicios profesionales, científicos y técnicos",2.7023785947774015,1.9160710881880119,0.7150951037144686,0.739315143762959
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.738503522410492,2.5612328213705595,0.39918902425824315,1.0154233879220191
Servicios educativos,1.4337659042008253,1.0810767033419104,0.20446394952746622,1.3283268262138421
Servicios de salud y de asistencia social,1.256779312011301,1.0789491263707571,1.1979909332441312,1.1917416883572698
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.4459120608895227,1.0583352141721918,0.6812763038479599,0.6660127478882732
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.613285457929584,0.6347670693812254,0.6110273041478383,0.5919692983335544
Otros servicios excepto actividades gubernamentales,0.4989679375147025,0.6921613846185637,0.7022325850305938,0.8385275249536744
Total,3.247428993491007,1.6508538279094613,1.3522321808343063,1.3474593448087664
