Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",161.91,150.15,38.1,21.4
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,62.91,42.43,,17.86
Industrias manufactureras,44.64,20.71,24.2,20.26
Comercio al por mayor,569.15,368.47,251.05,470.78
Comercio al por menor,316.85,136.28,130.03,156.6
"Transportes, correos y almacenamiento",38.81,29.74,26.97,29.45
Información en medios masivos,32.45,11.66,35.57,149.98
Servicios financieros y de seguros,35664.83,1207.77,3251.75,5195.91
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,36.38,50.73,68.13,51.39
"Servicios profesionales, científicos y técnicos",87.74,176.85,158.74,174.39
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",38.14,-1.78,194.1,121.1
Servicios educativos,168.43,102.09,378.43,79.07
Servicios de salud y de asistencia social,185.66,104.92,81.08,112.65
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",443.24,87.95,94.93,166.35
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,331.33,154.41,170.21,189.97
Otros servicios excepto actividades gubernamentales,1141.96,142.24,123.23,142.42
Total,100.0,100.0,100.0,100.0
