Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.215556424850012,9.61080647903715,0.1596310190819085,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,3.319127254264075,2.866753769172281,6.2346308986252446,6.365401473716206
Industrias manufactureras,6.538110321590845,5.168287969333164,1.1247388404235612,6.248942444846002
Comercio al por mayor,9.533184326688163,4.919993752744646,14.848057271572358,0.4752372813591306
Comercio al por menor,5.180301041346273,-1.0759086094639854,2.0030378890875404,3.407950898431525
"Transportes, correos y almacenamiento",5.1545503783362765,0.24369494850651063,1.2562563312015465,0.8955162001446606
Información en medios masivos,0.7884595577575298,-1995.832383643981,6.0186565397793,137.66806550370978
Servicios financieros y de seguros,12.509579953011329,536.5312303733381,188.5196057762749,23.7957299888019
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,4.07984970511871,11.225007627903661,6.29153272112197,10.333374684885708
"Servicios profesionales, científicos y técnicos",1.5210116122306412,20.94085725984935,6.541864345130291,13.17340324287364
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",74.8859774499669,26.98174020177708,6.697436387250227,12.175334951437057
Servicios educativos,1.2573956496114524,7.942142152327573,14.027484147974185,0.6621953651000376
Servicios de salud y de asistencia social,10.003846014027271,17.9298280796933,9.847023119309059,4.921081001638046
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",16.931664640233052,1.6210799888933782,1.7827304190859214,6.545959995634591
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,21.80023185598307,14.605468828389812,16.819174197867692,17.185331581799126
Otros servicios excepto actividades gubernamentales,4.681703215202348,6.984519127275506,13.565438275559716,2.3487244601734396
Total,1.012397941321471,-169.34700075083626,3.9881925238692935,6.090871768542268
