Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",218.84,-5.68,4.0,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,327.85,-1.69,156.33,104.51
Industrias manufactureras,645.8,-3.05,28.2,102.6
Comercio al por mayor,941.64,-2.91,372.3,7.8
Comercio al por menor,511.69,0.64,50.22,55.95
"Transportes, correos y almacenamiento",509.14,-0.14,31.5,14.7
Información en medios masivos,77.88,1178.55,150.91,2260.24
Servicios financieros y de seguros,1235.64,-316.82,4726.94,390.68
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,402.99,-6.63,157.75,169.65
"Servicios profesionales, científicos y técnicos",150.24,-12.37,164.03,216.28
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",7396.89,-15.93,167.93,199.89
Servicios educativos,124.2,-4.69,351.73,10.87
Servicios de salud y de asistencia social,988.13,-10.59,246.9,80.79
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1672.43,-0.96,44.7,107.47
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2153.33,-8.62,421.72,282.15
Otros servicios excepto actividades gubernamentales,462.44,-4.12,340.14,38.56
Total,100.0,100.0,100.0,100.0
