Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,0.24,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,131.97,105.6,124.55,99.31
Industrias manufactureras,101.73,69.54,73.37,86.68
Comercio al por mayor,130.88,125.85,112.05,106.56
Comercio al por menor,99.52,87.19,94.58,78.86
"Transportes, correos y almacenamiento",62.71,32.9,32.7,34.17
Información en medios masivos,62.61,651.63,610.19,490.35
Servicios financieros y de seguros,3875.58,1470.67,1131.59,986.22
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,126.31,227.25,210.68,95.56
"Servicios profesionales, científicos y técnicos",223.75,322.94,258.32,217.7
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",288.47,251.04,191.89,200.43
Servicios educativos,123.07,61.71,68.68,94.77
Servicios de salud y de asistencia social,163.28,122.59,105.44,85.62
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",138.75,75.92,159.06,111.18
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,149.47,131.63,112.63,84.6
Otros servicios excepto actividades gubernamentales,149.87,95.62,118.88,82.03
Total,100.0,100.0,100.0,100.0
