Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,8.146032122980233e-05,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.03411994423874862,0.00032313362944787964,-0.012558170984909354,0.0023135569257266265
Industrias manufactureras,0.00792762479521511,0.006418678760630441,0.005523052419224848,0.007538308085312443
Comercio al por mayor,0.0030475754515030544,0.003825349345035048,0.0029751536195025117,0.04652851270423978
Comercio al por menor,0.006896215285377237,-0.11470447932312361,0.02531665115157113,0.01029035584523558
"Transportes, correos y almacenamiento",0.0017303505164064418,0.010004608662047656,0.00475276258154947,0.020513569182671016
Información en medios masivos,0.0008393566506547066,-0.00018663137829302994,0.0038612264162114023,0.00031525012264715414
Servicios financieros y de seguros,5.725178535070525e-05,0.0001305147441078636,0.000141654265502934,6.782047808806409e-05
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.006557199646269683,0.003216948183885927,0.0069272927120182255,0.006765339801485069
"Servicios profesionales, científicos y técnicos",0.015192862941891053,0.003884695989444611,0.004882669018020347,0.004611493606856822
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.00025122913116176824,0.000424556122062004,0.007985914073728369,0.002624438975427496
Servicios educativos,0.005495283263898269,0.002591712842739097,0.002491084425300627,0.0018615943541221943
Servicios de salud y de asistencia social,0.007097441846039985,0.0014536368362398446,0.005763565923213068,0.012477164570807874
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0007497395605783679,0.0005417133219592151,-0.0006725008701318896,0.004386730278432378
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.0009813612457591609,0.0022296804097620944,0.002796950939039014,0.0020883054178203286
Otros servicios excepto actividades gubernamentales,0.011239660224785784,0.0067431615454938785,0.0014309443271871736,0.004536779294060848
Total,0.00362937322837238,-0.002459381583039009,0.003932727930578884,0.0051028372011476825
