Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.7811942779040402,3.1119709833367817,0.592176034141877,0.5662042094189402
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,0.08036754822872463,0.08228576346495693
Industrias manufactureras,0.05677966335716686,0.04083395028585885,0.04335965667906988,0.026987593550800427
Comercio al por mayor,0.3699787929770041,0.27478461304520607,0.27047920924054836,0.6279554363427109
Comercio al por menor,0.47824554541911574,0.6161754910820421,0.6037779194924898,0.7904790909828908
"Transportes, correos y almacenamiento",0.20555758568884747,0.07927608402625794,0.08117080277606499,0.08683174226040283
Información en medios masivos,0.015442726101675715,0.25516573682357485,,
Servicios financieros y de seguros,23.000106522591736,9.532597463663068,24.374050833959792,39.02930983401121
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.4083830226332626,0.7005297965050005,0.4897617288932848,0.23160507974673936
"Servicios profesionales, científicos y técnicos",0.1942979060330354,0.5162678413280134,0.6948881862036685,1.17609758913581
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.01217849409662304,0.06745020164582141,0.03145430639690653,0.01814468376402645
Servicios educativos,0.12355438779381565,0.04838273295132696,0.16690025481056017,0.08274865558120284
Servicios de salud y de asistencia social,0.7874475095940835,0.6343708529914199,0.6453787510613674,0.5248511003248088
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.44222550885911893,0.30995705731593176,0.4659858688463661,0.48963621815243613
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.6994365592132274,0.6264196626111026,0.8515280861478558,0.6847318806895701
Otros servicios excepto actividades gubernamentales,1.9892731680534779,0.7637415833108672,0.5413944243104949,0.5732314753005772
Total,0.15024356057540156,0.277530789583487,0.27254295849632326,0.30503688425042547
