Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",29549.52,8.39,204.54,-456885.48
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,-303.42,-7998.47
Industrias manufactureras,47.98,0.55,12.04,-69.42
Comercio al por mayor,3263.38,2.23,219.89,-170.07
Comercio al por menor,1523.73,0.14,175.79,693.51
"Transportes, correos y almacenamiento",66.97,0.0,35.79,
Información en medios masivos,89.97,734.97,,
Servicios financieros y de seguros,,643.87,5030.79,-204651.77
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,817.69,3.88,368.52,1074.86
"Servicios profesionales, científicos y técnicos",1033.85,12.59,1528.21,87774.55
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",724.49,63.03,23.16,
Servicios educativos,29.3,0.13,,-29.18
Servicios de salud y de asistencia social,2934.46,13.32,604.6,-8949.53
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,82.63,640.08,9000.73
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,16588.02,10.12,-103.44,6938.78
Otros servicios excepto actividades gubernamentales,1017.25,24.23,158.8,14429.61
Total,100.0,100.0,100.0,100.0
