Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",137.37,152.1,87.13,71.35
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,228.31
Construcción,62.45,90.29,64.25,110.01
Industrias manufactureras,102.19,90.13,94.2,103.54
Comercio al por mayor,106.33,87.11,98.06,87.15
Comercio al por menor,72.53,49.51,41.17,40.04
"Transportes, correos y almacenamiento",73.75,25.71,37.01,33.01
Información en medios masivos,140.88,19.52,94.4,
Servicios financieros y de seguros,1335.2,877.71,427.43,462.28
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,64.39,62.81,187.86,143.13
"Servicios profesionales, científicos y técnicos",102.73,31.21,169.76,94.62
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",132.05,86.38,117.74,57.57
Servicios educativos,172.37,78.3,50.81,65.04
Servicios de salud y de asistencia social,93.52,88.48,77.53,49.91
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",390.19,108.54,432.1,203.3
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,99.43,64.49,69.83,51.06
Otros servicios excepto actividades gubernamentales,51.9,49.56,42.03,44.86
Total,100.0,100.0,100.0,100.0
