Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",10.891121291732958,15.288069350542754,17.54683933622308,20.821538751180313
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,25.578807841515776
Construcción,8.490105868905115,12.416386977054712,10.950953220310735,19.803623090501045
Industrias manufactureras,3.2902651889834944,8.245119252026388,10.258184687907404,8.00277042242141
Comercio al por mayor,13.066711103264987,13.568687533237242,14.86301030007274,15.906570226782838
Comercio al por menor,7.667863480804096,9.63138180492994,7.555959893057286,7.6013377394929
"Transportes, correos y almacenamiento",6.233402232247516,5.072363096928421,6.827109750171182,5.831768781074218
Información en medios masivos,12.327496514840153,4.803810284421197,6.952370623508283,
Servicios financieros y de seguros,563.6613041907278,389.3038953811729,203.14296828250485,215.5767403828747
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,11.015826846944199,11.551427526127698,28.244428023946178,19.3124387441351
"Servicios profesionales, científicos y técnicos",14.329858857685421,16.90253430365288,34.20280206481181,22.042653595542752
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",13.260567160542607,18.937391064607258,29.68854398078444,18.45899018980385
Servicios educativos,21.516549920897976,9.774130805563239,12.620950762385378,15.079442371809526
Servicios de salud y de asistencia social,8.187354239752885,9.355711409296081,10.835974787799504,10.221999923849912
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",23.85579176634505,14.889367113329305,50.214325796584575,32.052005306645796
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8.853718305182438,10.478614593552239,14.900197144913644,10.143655157829714
Otros servicios excepto actividades gubernamentales,20.650331988457513,7.104298245247378,6.825690553300433,6.811786761101438
Total,5.062798475775403,14.026279685989945,14.142625370504494,11.775736964616533
