Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",41.74571405134935,6.3651535538087485,14.666969589875631,21.42012962748206
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,7.120583382327839,5.113311963080488,7.670444462786042,8.938268873972044
Industrias manufactureras,43.114963051242725,46.71366798934609,58.00924886713991,95.22877825090073
Comercio al por mayor,8.329787687561964,6.25260642933956,7.900817549539263,7.280980623070521
Comercio al por menor,7.453670755481477,7.44839844474769,7.810656999902153,7.869747785124427
"Transportes, correos y almacenamiento",9.94090791299791,11.085358643937727,10.646476397175755,21.43322580896228
Información en medios masivos,1.973828536148071,3.7895109140338374,18.226636190839,10.125383179024352
Servicios financieros y de seguros,6.697991147429349,18.153096215957575,6.816403859905198,8.102860558289828
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,23.194593237361904,9.846702441517412,26.734826388888887,14.784558138550135
"Servicios profesionales, científicos y técnicos",16.36659509073302,9.689534800315606,10.630064856754883,7.8039358805199175
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",31.980081789752226,10.545767112045615,15.456744476219768,10.995716680116704
Servicios educativos,12.190618585258793,9.69771156406783,8.287142054308122,8.780970663358518
Servicios de salud y de asistencia social,11.94024199887082,12.63952259069664,10.50282514517467,10.595147409490533
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",5.2162380300957585,6.68198947896436,8.051313475013696,7.092864541675954
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,10.214126805871308,9.049984333306378,10.27888582773919,8.794844939171599
Otros servicios excepto actividades gubernamentales,-27.24225339989671,12.352860211211848,14.45076420542291,10.336479808932934
Total,18.493867127036623,14.454885604344247,15.765981295086902,17.962202222023215
