Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225.73,44.03,93.03,119.25
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,38.5,35.37,48.65,49.76
Industrias manufactureras,233.13,323.17,367.94,530.16
Comercio al por mayor,45.04,43.26,50.11,40.54
Comercio al por menor,40.3,51.53,49.54,43.81
"Transportes, correos y almacenamiento",53.75,76.69,67.53,119.32
Información en medios masivos,10.67,26.22,115.61,56.37
Servicios financieros y de seguros,36.22,125.58,43.23,45.11
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,125.42,68.12,169.57,82.31
"Servicios profesionales, científicos y técnicos",88.5,67.03,67.42,43.45
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",172.92,72.96,98.04,61.22
Servicios educativos,65.92,67.09,52.56,48.89
Servicios de salud y de asistencia social,64.56,87.44,66.62,58.99
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",28.21,46.23,51.07,39.49
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,55.23,62.61,65.2,48.96
Otros servicios excepto actividades gubernamentales,-147.3,85.46,91.66,57.55
Total,100.0,100.0,100.0,100.0
