Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.008025410887049772,0.010815636902003774,0.641768054470365,0.02981013300842725
Industrias manufactureras,0.07678877826662799,0.08514429072404818,0.030906961277021666,0.2102568435159911
Comercio al por mayor,0.0605927552140505,0.09820473222657326,0.13970485762474913,0.09381872198926514
Comercio al por menor,0.17315328369272487,0.34966291294691804,0.10892224949114979,0.12218744239229157
"Transportes, correos y almacenamiento",0.3089745514787981,0.19301704154777932,0.11754279359328602,0.26674373693739806
Información en medios masivos,0.0,0.5126182965299685,0.0,0.0332890091246733
Servicios financieros y de seguros,0.023857371051682383,0.09680638722554889,0.06850938744547697,0.07307588128313276
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.05477158086057957,-0.031874801650269756,0.13823630726834307,0.12128736102934276
"Servicios profesionales, científicos y técnicos",0.008996199174209074,0.05890193043553034,0.13585684151966806,-0.26979221462388214
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.16192316064431866,0.2705111047112436,0.11763137725349061,0.3339417141500475
Servicios educativos,0.03551704437250047,0.06230469546393051,0.01683701180072088,0.11125576499591429
Servicios de salud y de asistencia social,0.020890181167524044,0.14706106164867538,0.21760608864140205,0.04310934632624222
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-0.0003303328103063837,0.22247950601511762,0.21465022326174785,0.16172630741302563
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.08978658536585366,0.12041694757039881,0.13222154141247303,0.04186885541625327
Otros servicios excepto actividades gubernamentales,0.02622530843389739,0.06353992183137912,0.20382475716144274,0.19936825696353122
Total,0.040257587519655226,-0.7919036294075071,0.059407142459562176,0.19236380240610818
