Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,501.63,-7321.84,9.26,645.3
Industrias manufactureras,52.43,-930.07,192.21,91.49
Comercio al por mayor,66.44,-806.38,42.52,205.04
Comercio al por menor,23.25,-226.48,54.54,157.43
"Transportes, correos y almacenamiento",13.03,-410.28,50.54,72.12
Información en medios masivos,,-154.48,,577.86
Servicios financieros y de seguros,168.74,-818.03,86.71,263.24
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,73.5,2484.42,42.98,158.6
"Servicios profesionales, científicos y técnicos",447.5,-1344.44,43.73,-71.3
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",24.86,-292.74,50.5,57.6
Servicios educativos,113.35,-1271.02,352.84,172.9
Servicios de salud y de asistencia social,192.71,-538.49,27.3,446.22
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-12186.98,-355.94,27.68,118.94
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,44.84,-657.63,44.93,459.44
Otros servicios excepto actividades gubernamentales,153.51,-1246.31,29.15,96.49
Total,100.0,100.0,100.0,100.0
