Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",51.73,63.3,240.86,476.38
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,96.08,200.13,,684.5
Industrias manufactureras,134.52,126.88,157.02,172.08
Comercio al por mayor,15.92,28.66,23.47,22.68
Comercio al por menor,25.54,42.72,40.59,34.69
"Transportes, correos y almacenamiento",60.97,54.86,89.36,101.35
Información en medios masivos,369.76,1677.25,187.93,140.35
Servicios financieros y de seguros,23.48,57.58,45.51,65.67
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,239.41,304.98,224.84,107.81
"Servicios profesionales, científicos y técnicos",129.87,262.55,116.7,89.44
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",84.23,77.2,26.97,117.86
Servicios educativos,73.82,77.02,7.23,57.39
Servicios de salud y de asistencia social,54.47,85.97,76.12,74.11
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",37.12,122.08,104.09,73.5
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,24.2,40.81,46.5,32.84
Otros servicios excepto actividades gubernamentales,31.28,35.54,32.38,42.37
Total,100.0,100.0,100.0,100.0
