Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",28.254608039085056,34.90124255759772,62.82626874279123,154.89675736116288
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,99.11919743036916,89.15195373113274,,388.68269882129795
Industrias manufactureras,130.88042805875088,135.40172286798045,118.02461845025135,161.68103983844082
Comercio al por mayor,15.315743141392824,12.603909877809473,15.861024372634896,13.309436464873048
Comercio al por menor,19.65013949421095,24.500920219661847,24.627255420197063,25.74561155118917
"Transportes, correos y almacenamiento",127.84943194442388,67.6106913919414,82.73809805954673,79.26645209404562
Información en medios masivos,269.24515709898424,1084.3897280966767,125.98861672655458,85.45639897563859
Servicios financieros y de seguros,11.448563897162028,57.46074719172031,30.067050369069687,20.286185248833863
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,228.93762907889305,104.00466200466201,112.41156288780202,113.9344509707946
"Servicios profesionales, científicos y técnicos",91.88117508019586,40.80055708436809,53.943788550501154,49.075630252100844
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",257.4051891054601,-3802.8607350096718,35.50136779029219,67.93153471620089
Servicios educativos,56.94631540528883,27.94543305644799,9.723605401058032,61.30343943654961
Servicios de salud y de asistencia social,42.02345515467935,38.633322939992624,47.48011334041711,38.21490628092439
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",31.03842083842084,65.19237043543733,102.20040263543191,61.405471366138826
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,22.860622573394185,27.157295702879154,29.15416433556813,26.268230737955243
Otros servicios excepto actividades gubernamentales,11.600436161049718,24.648975127602686,25.808277568213605,26.44363484410609
Total,75.78922436905218,50.07746817942383,43.59252383365373,49.680869151069395
