Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",39.39,38.28,72.27,85.52
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,37.45,61.97,94.82,103.82
Industrias manufactureras,118.91,121.07,113.04,111.05
Comercio al por mayor,43.04,71.94,71.55,80.08
Comercio al por menor,43.26,47.97,61.72,76.2
"Transportes, correos y almacenamiento",75.72,79.49,70.25,104.35
Información en medios masivos,175.15,64.93,131.12,84.78
Servicios financieros y de seguros,27.65,39.05,67.98,59.46
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,24.28,89.43,82.63,62.72
"Servicios profesionales, científicos y técnicos",78.31,184.94,99.78,121.81
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",38.75,83.85,94.72,34.03
Servicios educativos,78.0,32.68,69.6,58.32
Servicios de salud y de asistencia social,32.79,35.92,57.6,72.22
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",35.94,100.86,107.51,99.19
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,40.5,44.07,58.37,59.32
Otros servicios excepto actividades gubernamentales,56.99,37.33,66.49,64.24
Total,100.0,100.0,100.0,100.0
