Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",32.3623595505618,1.357010781441129,569.2857142857142,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,6.9568390536622955,17.99532235102705,9.002210610932476,18.60408009066868
Industrias manufactureras,4.832632202911817,5.831548815263028,14.459474163101142,7.107318873283624
Comercio al por mayor,4.478115177446378,7.960572532490341,3.75885381004628,8.478303313773239
Comercio al por menor,5.567894641329428,3.1670075290279485,7.029573858934311,6.925557544344817
"Transportes, correos y almacenamiento",8.873187765205092,51.81154937389338,21.74436577582768,11.576374558159491
Información en medios masivos,83.95338822039265,-3.3867521367521363,38.963520859257315,4.080261927034612
Servicios financieros y de seguros,53.02459016393443,3.4885880077369444,5.553449183780937,19.841074856046067
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,20.722386796445196,5.37369430824984,11.466754443712968,4.931664212076583
"Servicios profesionales, científicos y técnicos",25.431849791376912,3.5439585555386257,17.339630225080384,5.328661527680448
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.6039102731954265,16.001355380862023,9.381721550646102,4.833739779084779
Servicios educativos,31.806718061674008,2.6422233104799218,7.271302058401149,77.47103004291846
Servicios de salud y de asistencia social,5.622956317598725,3.1815792204198803,4.221280672021222,6.842236513978213
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",10.773131672597863,52.91830985915493,42.949771689497716,6.215301391035549
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.203986614287793,4.363327802081762,4.696939362846917,6.575139366623176
Otros servicios excepto actividades gubernamentales,6.470229007633588,5.255993498577814,3.6747030356357238,11.576397957972219
Total,19.23809203820322,-1.755614757937041,10.18364733665123,8.379418954002052
