Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,27096.5,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,81.22,103.13,92.27,151.51
Industrias manufactureras,75.01,99.09,102.62,90.5
Comercio al por mayor,108.41,98.09,97.77,118.02
Comercio al por menor,103.45,97.43,83.08,99.3
"Transportes, correos y almacenamiento",164.83,178.34,190.51,144.09
Información en medios masivos,221.06,85.83,33.69,72.78
Servicios financieros y de seguros,123.5,120.62,106.66,130.84
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,93.16,55.22,89.96,148.62
"Servicios profesionales, científicos y técnicos",62.61,38.05,83.01,77.89
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",58.94,63.44,87.03,83.68
Servicios educativos,126.75,134.11,126.07,101.16
Servicios de salud y de asistencia social,83.87,95.64,96.19,98.69
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",196.87,247.06,195.04,181.76
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,94.02,89.66,107.99,115.14
Otros servicios excepto actividades gubernamentales,98.04,101.14,69.99,94.54
Total,100.0,100.0,100.0,100.0
