Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,1356.1761280931585,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,3.268898686218547,4.776308263450454,3.9718096593671626,6.456194705428216
Industrias manufactureras,4.060843820649542,5.9230551521109245,5.544730651233133,4.907321267293748
Comercio al por mayor,4.594405629424278,4.047562867808537,4.808023525755789,4.649774772134119
Comercio al por menor,4.427069149273423,4.1905663114387055,4.014326333846167,3.660105850592664
"Transportes, correos y almacenamiento",10.024102048705064,7.873911904660582,7.776961840904979,5.298195726979871
Información en medios masivos,8.849574647547897,3.509194634777525,1.6303223909472513,3.2179588425972687
Servicios financieros y de seguros,3.8708419203585107,3.5099867535908156,4.385673290133202,5.74564093753132
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5.04820761326483,2.3895763044890264,4.193290266472086,4.864122263470622
"Servicios profesionales, científicos y técnicos",2.205800009239887,1.4496011401336917,3.2903786580341667,2.550814412676633
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.4814291568048246,2.344013715093364,3.499189490340536,3.1994830107819463
Servicios educativos,3.947358258442153,6.6163063989150945,6.823591971873587,4.084409613121595
Servicios de salud y de asistencia social,3.739314172447968,4.722515995879936,4.768056847882131,3.4878002760114075
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",10.981327630171917,17.133238154036114,11.119886925795052,8.34490655335174
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.876157884518086,4.014343123863368,5.0089548216174995,4.86573190092427
Otros servicios excepto actividades gubernamentales,3.056181141504284,3.7467206642724333,3.448116685041021,3.934487067056319
Total,4.574735317320269,5.467841271110179,5.281328945873896,4.88075075711174
