Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.04756233238145148,0.06067393576118461,0.024998577857727813,0.021714174457744713
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,0.00402850557469194,0.0029177970320188574
Industrias manufactureras,0.0004550503342670975,0.0012482377097788433,0.0006871293556082893,0.0013873736511774003
Comercio al por mayor,0.009159938587865327,0.003678978284018731,0.01867724486162047,0.010050788505286876
Comercio al por menor,0.015972012888729455,0.01381065767134062,0.014808673584347818,0.031038197118648646
"Transportes, correos y almacenamiento",0.0033522605276991462,0.0023952540688908443,0.004764145769448084,0.005294841637600093
Información en medios masivos,0.0006504397582765975,0.001804934434927613,0.0,0.0
Servicios financieros y de seguros,0.024440966490148576,0.02728568821007661,0.023409833999802718,0.028305018181238237
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.015362739213352808,0.0060182601323284434,0.0035878392126393755,0.0056027817977849165
"Servicios profesionales, científicos y técnicos",0.004603008471761693,0.002858777337351356,0.008949623074036506,0.010650530837425108
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0007615789577459234,0.0009993793426242735,0.0015697765380349466,0.000845133307819875
Servicios educativos,0.00860505094268424,0.0012006316810667095,0.002218734315740907,0.0013431398582247863
Servicios de salud y de asistencia social,0.019692719365761915,0.019602914694037396,0.013125855324734408,0.01171125751284477
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.00946067415730337,0.004571814650076009,0.006284223852595293,0.006595336612198475
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.016367307529548725,0.017918073262031663,0.018886561454736786,0.019880582872206665
Otros servicios excepto actividades gubernamentales,0.022947674885770656,0.031839309993201906,0.017751798472953027,0.01622924445803696
Total,0.0020007285797330665,0.0026514572339128594,0.0030579470395772877,0.005190179191030886
