Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4.21,4.37,12.23,23.9
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,75.91,177.88
Industrias manufactureras,439.67,212.42,445.03,374.1
Comercio al por mayor,21.84,72.07,16.37,51.64
Comercio al por menor,12.53,19.2,20.65,16.72
"Transportes, correos y almacenamiento",59.68,110.7,64.19,98.02
Información en medios masivos,307.6,146.9,,
Servicios financieros y de seguros,8.19,9.72,13.06,18.34
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,13.02,44.06,85.23,92.64
"Servicios profesionales, científicos y técnicos",43.47,92.75,34.17,48.73
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",262.71,265.31,194.8,614.13
Servicios educativos,23.25,220.84,137.82,386.42
Servicios de salud y de asistencia social,10.16,13.53,23.3,44.32
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",21.15,58.0,48.66,78.69
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,12.22,14.8,16.19,26.11
Otros servicios excepto actividades gubernamentales,8.72,8.33,17.23,31.98
Total,100.0,100.0,100.0,100.0
