Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.819833865540509,3.08672458990121,1.3009209917454063,1.2878822154940797
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,2.339953169134568
Construcción,3.182048621729835,2.743538341057515,3.7907769626317926,2.8354876395077153
Industrias manufactureras,7.692547064446728,3.062656437514534,2.6548072242984238,3.310028022459279
Comercio al por mayor,2.8903064988342586,3.082124298371277,2.5545213730157603,3.186055138106319
Comercio al por menor,3.5179682320365036,3.1217099506304007,4.041185605007972,4.289850348648025
"Transportes, correos y almacenamiento",3.44835503593084,3.5696968577764867,3.116935969893395,3.2371247064853157
Información en medios masivos,3.0703811862450214,23.706029984809454,6.146185034523364,
Servicios financieros y de seguros,3.1384811742182515,1.6052491467095427,4.589208076075519,3.9546570219399304
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.2758339440648716,4.113195829269831,2.5854472618965665,2.4522511022420597
"Servicios profesionales, científicos y técnicos",2.4373880313583856,3.8441411845054967,2.387253171885879,3.1403737485794077
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.207349123580181,3.2144487425568715,2.213214904381646,3.6045193741180013
Servicios educativos,1.9313208855040513,2.6285075464652294,2.7800676413920757,2.5999286485927358
Servicios de salud y de asistencia social,4.128781585787401,3.901362812758515,3.3875498157504724,3.406294569400008
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2.498571522180722,3.4674524618393217,1.8422080514107948,2.577585857743576
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.7065684482558687,3.60364663409294,3.1756142029036183,3.9789092269144346
Otros servicios excepto actividades gubernamentales,2.779361625989844,4.443867818425611,4.442905568728562,4.471925385356769
Total,6.485797332646518,3.214957389683525,2.939094729295592,3.412322864913281
