Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",28.06,96.01,44.26,37.74
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,68.57
Construcción,49.06,85.34,128.98,83.1
Industrias manufactureras,118.61,95.26,90.33,97.0
Comercio al por mayor,44.56,95.87,86.92,93.37
Comercio al por menor,54.24,97.1,137.5,125.72
"Transportes, correos y almacenamiento",53.17,111.03,106.05,94.87
Información en medios masivos,47.34,737.37,209.12,
Servicios financieros y de seguros,48.39,49.93,156.14,115.89
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,50.51,127.94,87.97,71.86
"Servicios profesionales, científicos y técnicos",37.58,119.57,81.22,92.03
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",49.45,99.98,75.3,105.63
Servicios educativos,29.78,81.76,94.59,76.19
Servicios de salud y de asistencia social,63.66,121.35,115.26,99.82
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",38.52,107.85,62.68,75.54
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,57.15,112.09,108.05,116.6
Otros servicios excepto actividades gubernamentales,42.85,138.22,151.17,131.05
Total,100.0,100.0,100.0,100.0
