Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",13964.324,18649.362,24682.819,44596.605,74141.546,5826.275,8562.512,11958.161,24702.236,29564.431,8138.049,10086.85,12724.658,19894.369,44577.115,506.08,824.486,618.621,714.257,695.756,506.08,826.063,622.141,724.279,677.176,196481.0,180083.0,188566.0,233554.0,242812.0,9871.978,14035.461,18501.064,26592.966,50342.108
Sector 21 Minería,468808.146,1293421.426,1227609.704,1219303.913,1294561.736,26992.684,234794.761,222088.162,274919.361,190895.081,441815.462,1058626.665,1005521.542,944384.552,1103666.655,2012.123,84813.461,196788.299,116883.727,147981.56,-274.508,91136.848,196249.667,112750.974,157400.285,122640.0,142325.0,166548.0,190685.0,166978.0,209265.675,508227.489,1125854.772,1270146.989,1077642.144
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",345364.486,513942.067,453127.127,656141.076,1006602.796,145461.59,250738.266,194600.844,438797.303,651734.835,199902.896,263203.801,258526.283,217343.773,354867.961,110110.398,37376.639,25319.751,61644.957,83077.598,108309.428,33005.317,24149.53,59685.947,78501.78,221335.0,235688.0,220929.0,216300.0,231195.0,717517.683,1300553.314,1837797.575,1980358.251,2523424.796
Sector 23 Construcción,177658.231,405388.143,346727.279,530427.806,973332.76,117115.892,283671.546,239082.711,345248.596,651142.193,60542.339,121716.597,107644.568,185179.21,322190.567,4638.107,11099.638,5673.818,2403.62,7333.176,3184.883,7923.782,4564.675,2514.14,5831.713,652387.0,704640.0,569856.0,676301.0,711553.0,35344.618,84188.91,85834.351,115375.417,167652.283
Sector 31-33 Industrias manufactureras,2733534.74,4879546.807,6745772.046,10800994.23,14031778.72,1777512.105,3396177.829,5009666.247,7607196.839,8640831.427,956022.635,1483368.978,1736105.799,3193797.387,5390947.292,105140.422,118290.674,121681.508,217251.254,224606.187,68684.184,90415.606,144042.105,197968.246,245497.13,4198579.0,4661062.0,5073432.0,6493020.0,7190294.0,1258435.455,1586990.745,2154257.963,2966441.027,3843534.767
Sector 43 Comercio al por mayor,377780.948,472016.168,638651.702,1249588.761,2195089.055,119216.031,184220.009,253735.112,372093.743,599306.962,258564.917,287796.159,384916.59,877495.018,1595782.093,18462.415,29020.411,26488.859,215863.892,171788.352,6696.711,13806.385,14202.363,101721.134,3184.37,962143.0,1107295.0,1286393.0,1582933.0,1804075.0,100826.766,168003.161,244477.178,1271578.543,1100789.313
Sector 46 Comercio al por menor,454686.108,601148.585,855006.161,1771094.058,2788341.846,138119.792,260484.749,310652.75,515781.217,689257.275,316566.316,340663.836,544353.411,1255312.841,2099084.571,31310.862,45171.925,36923.732,36431.968,61581.009,13711.491,30973.511,23696.616,28107.035,38537.54,4035223.0,5027463.0,5103255.0,5899054.0,6840541.0,225353.578,399208.741,567201.742,963447.006,1077093.804
"Sector 48-49 Transportes, correos y almacenamiento",276583.733,425696.778,500002.466,795802.764,1124268.363,155108.73,240168.348,307497.393,439220.563,552409.715,121475.003,185528.43,192505.073,356582.201,571858.648,16151.543,64502.328,31212.741,23480.511,35156.763,15770.616,64271.371,30666.167,23825.722,35241.99,634940.0,718062.0,772333.0,997000.0,1273482.0,265152.353,640674.35,706934.114,592882.712,913310.356
Sector 51 Información en medios masivos,284821.283,448936.467,541876.58,624262.387,707857.842,122298.336,276383.137,378376.467,427993.806,438046.697,162522.947,172553.33,163500.113,196268.581,269811.145,20111.676,49008.389,24680.102,140455.793,12788.075,19751.807,43874.079,21427.265,139516.812,12250.59,244679.0,293550.0,287617.0,363805.0,307724.0,242886.595,381969.349,301733.759,853372.66,790715.222
Sector 52 Servicios financieros y de seguros,478861.514,801228.022,837013.807,1339955.582,2035246.449,82342.996,209618.458,268000.9,477934.561,555881.649,396518.518,591609.564,569012.907,862021.021,1479364.8,3638.868,12923.527,16919.091,22438.874,24031.253,3596.745,12872.961,16879.319,22081.933,24402.659,275830.0,480557.0,478776.0,662239.0,647493.0,56562.6,91967.432,119705.034,177786.445,260628.095
