Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",5.467,2.602,40.017,8.297,14.314,1.568,0.402,10.126,3.796,3.571,3.899,2.2,29.891,4.501,10.743,0.304,0.0,4.777,0.05,0.349,0.304,0.0,4.777,0.05,0.349,62.0,47.0,268.0,57.0,44.0,1.447,11.953,33.311,8.262,19.727
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,9.628,10.433,10.562,97.728,15.404,6.508,5.394,5.115,15.057,10.398,3.12,5.039,5.447,82.671,5.006,0.255,0.009,-0.059,1.811,0.032,0.25,0.007,-0.066,1.805,0.138,103.0,84.0,95.0,246.0,95.0,5.614,5.454,6.481,6.697,6.087
Sector 43 Comercio al por mayor,32.618,45.601,48.126,52.723,1317.445,8.299,5.578,17.368,6.944,454.952,24.319,40.023,30.758,45.779,862.493,3.278,-1.12,0.775,1.078,-285.344,1.102,1.828,0.386,1.077,-0.809,110.0,81.0,84.0,118.0,541.0,17.956,17.095,135.668,12.375,184.1
Sector 46 Comercio al por menor,21.701,32.798,33.291,115.168,94.818,5.861,11.282,10.005,13.908,15.88,15.84,21.516,23.286,101.26,78.938,1.84,-0.707,-12.146,2.767,0.268,1.52,1.058,-8.437,2.134,1.549,373.0,474.0,355.0,376.0,540.0,19.762,38.859,57.326,34.568,47.855
"Sector 48-49 Transportes, correos y almacenamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 51 Información en medios masivos,0.517,,71.202,,,0.363,,10.37,,,0.154,,60.832,,,0.002,,15.412,,,0.002,,15.412,,,9.0,,286.0,,,0.449,,23.058,,
Sector 52 Servicios financieros y de seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.272,0.473,0.133,,0.31,0.201,0.354,0.073,,0.191,0.071,0.119,0.06,,0.119,0.0,0.005,0.18,,0.02,0.0,0.005,0.18,,0.026,11.0,23.0,8.0,,8.0,0.338,1.729,8.002,,1.544
"Sector 54 Servicios profesionales, científicos y técnicos",,0.149,,,,,0.101,,,,,0.048,,,,,0.0,,,,,0.0,,,,,6.0,,,,,0.393,,,
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 61 Servicios educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,0.582,0.282,0.559,,1.14,0.208,0.159,0.2,,0.645,0.374,0.123,0.359,,0.495,0.13,0.0,0.006,,0.11,0.13,0.0,0.006,,0.11,7.0,6.0,11.0,,13.0,1.228,0.32,1.858,,0.51
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.727,6.434,6.465,12.19,14.871,4.004,4.389,3.988,6.627,7.098,2.723,2.045,2.477,5.563,7.773,0.879,0.041,-0.011,0.32,0.15,0.876,0.039,-0.012,0.319,0.2,82.0,74.0,72.0,74.0,121.0,3.342,6.987,3.49,2.183,9.824
Sector 81 Otros servicios excepto actividades gubernamentales,6.103,4.765,3.929,9.112,11.342,2.646,2.481,2.136,6.405,6.208,3.457,2.284,1.793,2.707,5.134,0.135,0.283,0.107,0.353,0.044,0.132,0.281,0.108,0.352,0.084,98.0,144.0,159.0,131.0,154.0,3.84,6.997,10.602,3.956,8.522
Total 001 Abasolo,88.358,107.782,222.341,322.779,1494.868,32.362,31.777,60.769,65.797,506.597,55.996,76.005,161.572,256.982,988.271,6.823,-1.429,9.028,7.006,-284.43,4.316,3.278,12.335,6.366,1.594,886.0,967.0,1367.0,1071.0,1589.0,56.905,91.669,281.663,91.16,358.666
checksum,83.615,103.537,214.284,295.218,1469.644,29.658,30.14,59.381,52.737,498.943,53.957,73.397,154.903,242.481,970.701,6.823,-1.489,9.041,6.379,-284.371,4.316,3.218,12.354,5.737,1.647,855,939,1338,1002,1516,53.976,89.787,279.796,68.041,278.169
