Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",50.536,102.994,75.017,79.888,127.457,22.18,35.235,44.387,43.054,37.729,28.356,67.759,30.63,36.834,89.728,1.212,2.022,1.737,0.139,-0.096,1.212,2.022,1.737,0.139,-0.096,515.0,649.0,400.0,394.0,483.0,32.109,54.922,82.638,59.309,90.245
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,41.336,40.66,34.358,163.915,169.915,20.743,25.492,23.038,117.648,106.451,20.593,15.168,11.32,46.267,63.464,0.915,0.062,0.965,6.59,4.377,0.843,0.046,1.024,6.156,0.389,301.0,270.0,175.0,229.0,319.0,26.256,41.278,23.947,45.669,53.162
Sector 43 Comercio al por mayor,35.425,39.516,12.835,38.821,299.096,9.039,10.254,2.182,4.911,51.636,26.386,29.262,10.653,33.91,247.46,3.573,1.229,0.137,5.424,30.88,3.025,0.885,0.002,5.943,0.806,128.0,152.0,77.0,139.0,121.0,22.591,52.812,21.444,29.843,120.107
Sector 46 Comercio al por menor,64.988,114.898,123.338,241.828,337.811,11.225,33.843,53.904,64.836,83.5,53.763,81.055,69.434,176.992,254.311,2.07,3.436,7.707,29.645,-0.59,1.013,2.375,5.268,33.987,3.314,695.0,904.0,906.0,946.0,1211.0,41.554,60.019,75.512,176.274,230.662
"Sector 48-49 Transportes, correos y almacenamiento",8.579,,,,,5.672,,,,,2.907,,,,,-0.06,,,,,-0.07,,,,,38.0,,,,,4.848,,,,
Sector 51 Información en medios masivos,,3.119,6.958,,,,0.659,0.856,,,,2.46,6.102,,,,-0.039,0.0,,,,0.0,0.0,,,,13.0,47.0,,,,0.507,1.229,,
Sector 52 Servicios financieros y de seguros,,,,12.005,9.906,,,,4.331,4.419,,,,7.674,5.487,,,,0.41,0.006,,,,0.409,0.006,,,,30.0,35.0,,,,2.257,37.564
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.878,0.337,0.678,0.857,0.941,0.194,0.116,0.171,0.37,0.414,0.684,0.221,0.507,0.487,0.527,0.019,0.0,0.0,0.0,0.003,0.018,0.0,0.0,0.0,0.0,9.0,34.0,6.0,13.0,20.0,4.581,3.208,2.152,9.952,3.448
"Sector 54 Servicios profesionales, científicos y técnicos",1.019,2.514,2.63,4.929,3.439,0.283,0.919,0.996,0.807,0.665,0.736,1.595,1.634,4.122,2.774,0.345,0.005,0.021,0.172,0.032,0.339,0.005,0.021,0.17,0.033,22.0,45.0,29.0,40.0,29.0,2.988,3.221,2.455,4.759,17.363
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.955,2.003,1.445,2.348,,0.206,0.313,0.74,19.197,,1.749,1.69,0.705,-16.849,,0.021,0.0,0.0,0.119,,0.013,0.0,0.0,0.12,,14.0,29.0,19.0,65.0,,0.306,1.544,1.261,6.383,
Sector 61 Servicios educativos,,,1.499,3.505,2.983,,,0.425,0.371,0.542,,,1.074,3.134,2.441,,,0.0,0.13,0.002,,,0.0,0.128,0.0,,,30.0,50.0,46.0,,,0.244,6.466,4.641
Sector 62 Servicios de salud y de asistencia social,1.456,3.905,3.668,8.912,10.079,0.567,0.689,1.985,4.026,3.479,0.889,3.216,1.683,4.886,6.6,0.002,0.0,0.0,0.586,0.016,0.002,0.0,0.0,0.587,-0.003,25.0,38.0,42.0,70.0,70.0,1.144,1.073,2.36,8.732,14.926
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,0.266,0.957,2.834,,,0.127,0.46,0.556,,,0.139,0.497,2.278,,,0.0,0.552,0.003,,,0.0,0.552,0.0,,,8.0,12.0,26.0,,,0.25,2.892,6.204
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,17.352,27.028,32.745,78.134,104.089,9.167,15.144,19.332,42.119,46.432,8.185,11.884,13.413,36.015,57.657,1.873,0.095,0.116,7.502,0.215,0.64,0.042,0.093,7.489,0.108,176.0,275.0,261.0,308.0,473.0,31.198,39.436,31.57,36.465,27.146
Sector 81 Otros servicios excepto actividades gubernamentales,21.247,11.98,14.799,36.64,36.446,14.467,4.439,6.323,16.757,12.2,6.78,7.541,8.476,19.883,24.246,2.113,0.005,0.061,10.848,0.943,0.137,0.014,0.051,10.878,0.829,195.0,245.0,239.0,308.0,328.0,11.693,13.04,13.124,41.593,32.555
Total 002 Aldama,269.133,374.831,324.89,698.808,1132.445,103.297,140.939,161.243,331.002,361.942,165.836,233.892,163.647,367.806,770.503,12.703,6.803,11.324,64.131,37.988,7.629,5.435,8.566,68.573,8.854,2236.0,2811.0,2331.0,2686.0,3253.0,193.4,282.287,271.721,452.102,671.925
