Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",51.414,42.343,38.873,90.415,186.61,13.967,19.621,19.104,58.177,82.86,37.447,22.722,19.769,32.238,103.75,0.258,0.205,0.1,0.818,0.21,0.258,0.205,0.1,0.818,0.21,515.0,790.0,664.0,881.0,911.0,13.543,17.886,19.338,26.054,51.291
Sector 21 Minería,4727.155,,,,,228.709,,,,,4498.446,,,,,60.479,,,,,30.044,,,,,3108.0,,,,,6190.981,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,5819.587,,,,,3285.788,,,,,2533.799,,,,,373.341,,,,,379.823,,,,,771.0,,,,,12137.961
Sector 23 Construcción,291.682,221.78,371.439,464.468,1047.787,163.663,167.208,204.664,286.358,740.697,128.019,54.572,166.775,178.11,307.09,10.337,1.956,-1.294,-5.451,5.19,10.299,1.855,1.216,-4.88,7.449,1803.0,472.0,578.0,1362.0,1535.0,91.156,59.326,209.903,189.002,480.565
Sector 31-33 Industrias manufactureras,19580.565,55389.327,64489.03,117978.532,132055.971,14580.602,42005.955,51058.06,83189.217,86750.69,4999.963,13383.372,13430.97,34789.315,45305.281,2337.599,1758.229,1918.356,1516.055,628.883,1904.66,1214.552,2320.752,1618.03,1199.821,8526.0,8438.0,7372.0,19175.0,16646.0,12400.862,16717.744,22186.552,34153.092,26607.388
Sector 43 Comercio al por mayor,2510.693,1705.769,2628.304,2734.502,5972.974,1596.448,797.863,838.402,808.289,1779.686,914.245,907.906,1789.902,1926.213,4193.288,68.104,89.297,116.952,153.981,-97.531,31.882,38.826,71.735,243.726,98.95,2602.0,3385.0,3677.0,4027.0,5010.0,4281.695,822.141,766.174,1386.006,1384.51
Sector 46 Comercio al por menor,417.609,849.535,985.963,2773.069,3686.602,98.612,412.364,446.91,985.76,1019.045,318.997,437.171,539.053,1787.309,2667.557,44.356,61.851,54.85,79.155,336.618,7.921,29.006,34.839,64.542,183.939,3702.0,6413.0,6154.0,8944.0,10137.0,176.889,463.006,662.124,1004.826,1527.076
"Sector 48-49 Transportes, correos y almacenamiento",1392.66,1690.87,1555.995,5031.411,11375.212,791.334,830.838,1019.705,2900.34,4299.783,601.326,860.032,536.29,2131.071,7075.429,183.337,177.908,114.229,73.599,340.352,183.542,175.82,111.549,75.153,340.221,2338.0,1926.0,3168.0,7611.0,11451.0,1371.168,1347.439,2193.265,3022.182,7089.383
Sector 51 Información en medios masivos,2.985,23.191,,,,0.636,13.562,,,,2.349,9.629,,,,0.001,-0.025,,,,0.0,0.0,,,,17.0,81.0,,,,0.574,15.913,,,
Sector 52 Servicios financieros y de seguros,,22.736,71.699,128.254,178.986,,6.984,11.813,79.33,113.377,,15.752,59.886,48.924,65.609,,2.256,0.129,0.338,3.859,,2.255,0.126,0.338,3.859,,67.0,88.0,238.0,244.0,,4.01,2.616,12.082,13.115
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,91.526,235.951,63.55,309.88,360.448,42.786,169.703,27.676,181.844,125.525,48.74,66.248,35.874,128.036,234.923,8.743,1.82,5.616,18.819,10.103,7.32,1.797,5.651,18.737,10.095,439.0,425.0,267.0,479.0,586.0,306.291,63.218,40.487,199.508,241.974
"Sector 54 Servicios profesionales, científicos y técnicos",6.492,45.429,66.082,351.349,178.38,3.337,13.125,30.879,62.727,63.563,3.155,32.304,35.203,288.622,114.817,0.657,0.804,3.217,0.488,-1.458,0.649,0.81,3.215,0.482,-1.458,95.0,260.0,249.0,1344.0,432.0,3.729,13.348,39.341,70.943,56.289
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",51.695,114.093,943.141,2240.379,110.161,12.357,52.955,389.498,530.995,25.735,39.338,61.138,553.643,1709.384,84.426,0.469,0.211,3.304,1.364,9.981,0.462,0.211,3.254,1.035,9.88,332.0,547.0,1572.0,4287.0,396.0,6.575,30.042,50.736,308.893,74.664
Sector 61 Servicios educativos,250.321,320.998,458.555,515.963,592.191,58.493,91.943,195.665,136.872,150.108,191.828,229.055,262.89,379.091,442.083,13.462,9.237,29.975,27.328,30.197,13.498,9.24,29.977,27.362,30.197,994.0,1031.0,1342.0,1573.0,1203.0,180.303,322.219,146.672,475.432,651.337
Sector 62 Servicios de salud y de asistencia social,7.679,15.212,34.459,114.753,163.533,2.806,6.621,24.975,48.168,67.478,4.873,8.591,9.484,66.585,96.055,1.561,-0.009,8.204,2.623,0.487,1.547,0.056,8.142,2.531,0.594,81.0,256.0,514.0,540.0,543.0,3.378,9.588,122.711,174.635,47.357
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2.45,9.608,7.457,33.227,34.847,0.96,4.555,3.242,11.464,13.825,1.49,5.053,4.215,21.763,21.022,0.644,0.025,0.273,8.549,3.108,0.642,0.028,0.266,8.351,3.101,22.0,64.0,133.0,245.0,148.0,1.231,65.019,6.187,48.672,25.554
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,68.693,162.23,254.335,736.865,1082.771,36.313,85.012,147.233,427.499,584.353,32.38,77.218,107.102,309.366,498.418,7.454,0.599,3.247,15.559,8.54,7.109,0.668,3.077,15.211,7.725,633.0,1385.0,1660.0,3053.0,3307.0,25.986,66.47,117.424,375.326,391.494
Sector 81 Otros servicios excepto actividades gubernamentales,112.375,207.978,314.24,450.548,990.933,44.662,106.215,158.37,217.41,415.897,67.713,101.763,155.87,233.138,575.036,3.164,1.128,13.184,5.269,16.574,3.177,1.41,14.419,5.329,15.845,951.0,1535.0,2260.0,2637.0,3340.0,60.219,171.488,194.049,293.264,420.785
Total 003 Altamira,32230.067,61755.993,72694.255,136186.419,163916.528,19572.528,45257.66,54658.64,91406.278,99573.31,12657.539,16498.333,18035.615,44780.141,64343.218,3682.19,2160.932,2269.642,1954.074,1667.175,3145.534,1480.415,2608.324,2132.326,2290.251,26375.0,27608.0,30458.0,57332.0,56732.0,34782.519,20753.884,27132.78,43711.672,51218.518
checksum,29565.994,61057.05,72283.122,133953.615,163836.993,17675.685,44784.524,54576.196,89924.45,99518.41,11890.309,16272.526,17706.926,44029.165,64318.583,2740.625,2105.492,2270.342,1898.494,1668.454,2203.01,1476.739,2608.318,2076.765,2290.251,26158,27075,29698,56396,56660,25114.58,20188.857,26757.579,41739.917,51200.743
