Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",13.923,30.627,27.891,23.568,31.841,4.735,9.268,13.232,11.496,12.057,9.188,21.359,14.659,12.072,19.784,0.655,0.14,0.364,0.0,2.712,0.655,0.14,0.364,0.0,2.712,193.0,203.0,403.0,144.0,113.0,4.323,8.842,21.204,10.692,48.574
Sector 21 Minería,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,C,C,N/A,13.313,C,C,C,N/A,10.045,C,C,C,N/A,3.268,C,C,C,N/A,0.03,C,C,C,N/A,0.03,C,C,C,N/A,38.0,C,C,C,N/A,2.13,C
Sector 31-33 Industrias manufactureras,113.866,91.416,123.21,56.655,80.03,27.632,25.409,109.451,30.387,40.586,86.234,66.007,13.759,26.268,39.444,0.194,-23.518,0.16,0.006,5.801,0.454,0.59,0.147,0.001,5.805,1472.0,884.0,255.0,163.0,164.0,22.587,24.07,33.103,18.603,18.684
Sector 43 Comercio al por mayor,15.227,18.013,1.191,24.019,38.762,2.216,7.464,0.767,2.092,4.254,13.011,10.549,0.424,21.927,34.508,5.373,1.022,0.03,-1.634,7.182,0.238,0.25,0.045,0.0,7.2,66.0,75.0,20.0,52.0,41.0,1.602,27.522,2.441,25.342,13.768
Sector 46 Comercio al por menor,45.364,45.294,62.874,127.008,258.911,12.555,16.084,22.505,39.837,50.444,32.809,29.21,40.369,87.171,208.467,2.484,6.858,1.783,21.357,10.395,1.232,0.423,0.437,12.323,11.055,480.0,690.0,709.0,552.0,713.0,33.829,35.284,48.172,92.872,95.946
"Sector 48-49 Transportes, correos y almacenamiento",29.825,54.358,52.813,66.278,129.05,4.755,13.165,25.692,37.088,80.281,25.07,41.193,27.121,29.19,48.769,0.192,0.839,0.006,0.029,-0.01,0.192,0.839,0.0,0.031,0.0,49.0,62.0,83.0,133.0,104.0,5.566,9.636,35.223,144.267,66.723
Sector 51 Información en medios masivos,C,2.302,0.548,C,C,C,1.049,0.332,C,C,C,1.253,0.216,C,C,C,0.044,0.0,C,C,C,0.044,0.0,C,C,C,12.0,8.0,C,C,C,0.242,1.271,C,C
Sector 52 Servicios financieros y de seguros,0.825,C,5.894,7.624,9.342,0.451,C,4.944,5.158,3.776,0.374,C,0.95,2.466,5.566,0.016,C,0.0,0.0,0.23,0.005,C,0.0,0.0,0.23,8.0,C,11.0,15.0,16.0,0.308,C,0.345,1.798,1.645
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.519,2.419,3.443,0.657,2.307,1.026,0.458,1.188,0.326,0.833,0.493,1.961,2.255,0.331,1.474,0.009,0.121,0.076,0.0,0.522,0.008,0.121,0.011,0.0,0.522,16.0,14.0,22.0,11.0,14.0,4.24,2.265,4.42,5.635,4.766
"Sector 54 Servicios profesionales, científicos y técnicos",2.176,3.003,2.705,3.498,12.598,0.843,1.032,0.86,1.143,2.811,1.333,1.971,1.845,2.355,9.787,0.002,0.049,0.009,0.0,1.967,0.0,0.036,0.009,0.0,1.967,23.0,32.0,23.0,32.0,47.0,2.64,3.208,1.629,3.639,6.0
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",C,0.174,1.061,1.107,C,C,0.089,0.537,0.468,C,C,0.085,0.524,0.639,C,C,0.002,0.029,0.0,C,C,0.0,0.014,0.0,C,C,7.0,18.0,8.0,C,C,0.339,0.828,1.511,C
Sector 61 Servicios educativos,C,C,0.445,C,N/A,C,C,0.164,C,N/A,C,C,0.281,C,N/A,C,C,0.0,C,N/A,C,C,0.0,C,N/A,C,C,11.0,C,N/A,C,C,0.08,C,N/A
Sector 62 Servicios de salud y de asistencia social,10.479,8.071,8.564,20.282,37.9,4.388,3.639,5.011,7.204,8.946,6.091,4.432,3.553,13.078,28.954,0.226,0.323,0.067,0.005,13.75,0.139,0.296,0.062,0.0,13.76,104.0,116.0,113.0,132.0,124.0,11.468,9.554,15.191,14.126,32.624
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",C,1.089,C,1.156,1.399,C,0.296,C,0.597,0.571,C,0.793,C,0.559,0.828,C,0.0,C,0.0,0.052,C,0.0,C,0.0,0.052,C,23.0,C,8.0,9.0,C,0.681,C,2.577,1.551
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,12.538,18.496,28.277,55.877,83.993,7.733,8.018,16.645,29.579,40.953,4.805,10.478,11.632,26.298,43.04,0.088,0.129,0.384,0.0,3.941,0.059,0.056,0.384,0.0,3.925,126.0,157.0,202.0,265.0,305.0,9.636,8.934,7.585,24.536,24.236
Sector 81 Otros servicios excepto actividades gubernamentales,7.302,35.247,14.263,29.591,38.875,3.041,26.401,6.311,13.42,11.55,4.261,8.846,7.952,16.171,27.325,0.285,1.663,0.172,-0.002,2.842,0.248,0.028,0.148,-0.003,2.844,169.0,306.0,211.0,220.0,209.0,7.975,3.651,9.204,19.489,12.848
Total 007 Camargo,289.43,319.158,341.754,447.498,757.14,82.727,117.351,211.896,199.669,266.348,206.703,201.807,129.858,247.829,490.792,10.469,-12.269,3.09,27.964,50.403,4.226,2.867,1.631,20.391,51.111,2803.0,2637.0,2131.0,1831.0,1928.0,117.821,140.148,191.02,402.13,378.272
checksum,253.044 + 7C,310.509 + 5C,333.179 + 2C,430.633 + 3C,725.008 + 4C,69.375 + 7C,112.372 + 5C,207.639 + 2C,188.84 + 3C,257.062 + 4C,183.669 + 7C,198.137 + 5C,125.54 + 2C,241.793 + 3C,467.946 + 4C,9.524 + 7C,-12.328 + 5C,3.08 + 2C,19.791 + 3C,49.384 + 4C,3.23 + 7C,2.823 + 5C,1.621 + 2C,12.382 + 3C,50.072 + 4C,2706 + 7C,2581 + 5C,2089 + 2C,1773 + 3C,1859 + 4C,104.174 + 7C,134.228 + 5C,180.696 + 2C,367.217 + 3C,327.365 + 4C
