Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.293,20.964,42.252,17.921,,0.7,3.479,29.097,9.199,,1.593,17.485,13.155,8.722,,0.134,-0.264,0.0,0.051,,0.134,-0.264,0.0,0.051,,25.0,68.0,101.0,66.0,,1.321,8.624,16.329,10.021,
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,912.942,1520.641,1471.282,442.729,1823.471,655.562,1061.854,996.496,287.656,1087.488,257.38,458.787,474.786,155.073,735.983,4.645,-0.123,22.699,-3.87,0.201,4.431,-0.266,23.044,-4.312,-0.316,3887.0,4353.0,2450.0,1100.0,1864.0,269.423,398.329,439.275,237.389,693.651
Sector 31-33 Industrias manufactureras,22566.651,67422.391,101630.556,93921.127,59873.394,19671.246,73776.024,93200.293,85827.467,45457.751,2895.405,-6353.633,8430.263,8093.66,14415.643,4375.88,-727.538,-506.825,8284.479,-264.734,712.306,30.14,238.49,8146.678,264.731,7615.0,6888.0,7214.0,6647.0,7736.0,11541.013,16190.365,36956.135,17764.891,25007.01
Sector 43 Comercio al por mayor,337.58,943.95,636.023,5809.883,370.003,109.048,167.89,265.347,311.923,83.78,228.532,776.06,370.676,5497.96,286.223,31.278,-8.592,21.926,6.081,2.693,11.474,-3.236,19.69,19.933,9.388,1283.0,1063.0,1142.0,875.0,603.0,148.951,359.231,689.321,705.424,245.567
Sector 46 Comercio al por menor,662.941,992.677,1279.751,2942.067,3786.168,155.625,440.359,489.445,800.132,1021.603,507.316,552.318,790.306,2141.935,2764.565,62.493,46.516,104.882,82.983,232.434,11.574,35.509,68.461,87.382,73.007,6126.0,7208.0,6514.0,7697.0,8078.0,273.054,513.021,765.079,1424.367,1348.975
"Sector 48-49 Transportes, correos y almacenamiento",99.541,853.585,2301.678,2908.229,2639.608,59.141,24.069,709.133,959.156,2032.036,40.4,829.516,1592.545,1949.073,607.572,5.494,104.126,575.502,500.502,66.429,5.497,108.311,513.413,498.845,66.443,410.0,2556.0,2363.0,3092.0,719.0,169.045,798.872,8183.173,8218.191,10417.75
Sector 51 Información en medios masivos,65.903,29.596,69.652,71.928,,45.74,13.994,15.19,14.707,,20.163,15.602,54.462,57.221,,4.657,0.367,0.08,0.072,,1.444,0.06,0.08,0.072,,201.0,347.0,113.0,101.0,,18.467,9.212,18.452,18.409,
Sector 52 Servicios financieros y de seguros,22.524,39.751,130.308,210.248,221.287,10.126,15.025,18.054,139.076,127.227,12.398,24.726,112.254,71.172,94.06,0.851,4.582,0.095,4.31,4.519,0.844,2.744,0.044,3.183,4.519,62.0,182.0,140.0,380.0,278.0,2.385,7.256,7.773,24.962,28.828
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,27.376,58.585,74.465,273.658,130.62,10.916,36.353,41.31,157.542,51.06,16.46,22.232,33.155,116.116,79.56,1.534,3.153,1.027,-1.219,0.279,1.365,3.196,1.021,-1.405,0.094,253.0,333.0,307.0,614.0,350.0,51.333,66.261,103.685,291.003,145.256
"Sector 54 Servicios profesionales, científicos y técnicos",62.467,157.009,113.476,116.915,355.887,25.674,79.527,59.596,103.562,125.506,36.793,77.482,53.88,13.353,230.381,1.499,7.02,0.113,0.485,0.93,1.483,7.058,0.049,0.482,0.924,458.0,1025.0,488.0,559.0,920.0,26.183,214.261,26.694,55.715,74.71
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",590.399,901.626,215.768,380.018,467.954,343.168,121.129,44.22,150.682,148.962,247.231,780.497,171.548,229.336,318.992,29.939,0.504,1.751,4.947,9.119,29.896,0.499,1.711,4.801,9.117,1069.0,2612.0,2530.0,2035.0,1416.0,84.878,71.658,31.185,91.235,82.128
