Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,,,,,2.795,,,,,1.681,,,,,1.114,,,,,0.0,,,,,0.0,,,,,10.0,,,,,1.02
Sector 43 Comercio al por mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 46 Comercio al por menor,0.835,0.909,6.629,1.797,3.381,0.128,0.877,2.775,0.922,0.475,0.707,0.032,3.854,0.875,2.906,0.009,0.002,1.182,0.256,0.021,0.003,0.0,0.294,0.12,0.0,26.0,42.0,51.0,30.0,46.0,0.722,6.857,3.674,6.284,67.196
"Sector 48-49 Transportes, correos y almacenamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,,,,,2.157,,,,,1.757,,,,,0.4,,,,,0.0,,,,,0.0,,,,,12.0,,,,,0.5
Sector 81 Otros servicios excepto actividades gubernamentales,,0.325,0.09,0.545,0.864,,0.152,0.058,0.268,0.399,,0.173,0.032,0.277,0.465,,0.0,0.004,0.0,0.0,,0.0,0.003,0.0,0.0,,8.0,5.0,6.0,11.0,,0.152,0.13,0.0,0.62
Total 010 Cruillas,2.093,2.477,9.144,5.09,12.617,1.098,1.56,4.579,1.616,4.672,0.995,0.917,4.565,3.474,7.945,0.029,0.209,1.254,0.253,0.081,0.023,0.0,0.339,0.131,0.06,59.0,85.0,81.0,49.0,90.0,1.481,8.519,11.163,7.511,69.828
checksum,0.835,1.234,6.719,2.342,9.197,0.128,1.029,2.833,1.19,4.312,0.707,0.205,3.886,1.152,4.885,0.009,0.002,1.186,0.256,0.021,0.003,0,0.297,0.12,0,26,50,56,36,79,0.722,7.009,3.804,6.284,69.336
