Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",3.037,3.138,7.748,3.256,6.699,0.987,1.236,4.541,1.741,2.236,2.05,1.902,3.207,1.515,4.463,0.023,0.038,0.044,0.015,-0.002,0.023,0.038,0.044,0.015,-0.002,55.0,98.0,90.0,72.0,87.0,0.91,1.268,19.581,1.842,13.037
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C
Sector 31-33 Industrias manufactureras,102.739,90.894,134.235,250.941,284.187,34.974,27.461,87.372,188.614,184.275,67.765,63.433,46.863,62.327,99.912,1.688,6.12,2.898,2.07,0.53,1.625,5.475,2.694,1.498,1.316,764.0,718.0,587.0,767.0,706.0,28.575,58.017,61.657,97.441,129.232
Sector 43 Comercio al por mayor,87.183,132.98,245.534,382.882,412.335,21.744,59.399,33.661,207.468,94.254,65.439,73.581,211.873,175.414,318.081,3.068,15.752,14.468,28.382,19.341,2.383,7.796,2.278,7.846,17.88,419.0,526.0,356.0,526.0,405.0,34.287,88.587,65.672,196.414,250.87
Sector 46 Comercio al por menor,95.342,116.038,112.138,294.485,501.932,27.571,32.74,31.129,94.285,115.925,67.771,83.298,81.009,200.2,386.007,11.858,2.662,2.203,10.967,4.864,5.822,2.066,5.444,10.184,4.532,1387.0,1480.0,1279.0,1641.0,2239.0,74.142,67.058,73.249,253.929,292.016
"Sector 48-49 Transportes, correos y almacenamiento",7.934,C,3.828,C,C,4.838,C,2.984,C,C,3.096,C,0.844,C,C,0.0,C,0.634,C,C,0.0,C,0.633,C,C,60.0,C,14.0,C,C,11.754,C,3.66,C,C
Sector 51 Información en medios masivos,C,6.392,C,C,C,C,3.791,C,C,C,C,2.601,C,C,C,C,0.0,C,C,C,C,0.0,C,C,C,C,21.0,C,C,C,C,0.788,C,C,C
Sector 52 Servicios financieros y de seguros,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.135,0.692,0.952,3.755,9.714,0.673,0.447,0.313,1.866,4.436,0.462,0.245,0.639,1.889,5.278,0.132,0.004,-0.045,0.5,0.004,0.132,0.004,0.0,0.5,0.004,19.0,16.0,15.0,16.0,70.0,1.6,1.416,2.383,19.011,17.317
"Sector 54 Servicios profesionales, científicos y técnicos",1.929,4.178,4.037,9.731,8.843,0.79,1.149,1.361,3.81,3.233,1.139,3.029,2.676,5.921,5.61,0.175,0.008,0.031,0.019,0.392,0.172,0.011,0.031,0.028,0.389,40.0,63.0,42.0,64.0,62.0,1.898,2.328,2.062,3.371,8.761
