Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",24.623,28.675,2.204,19.206,20.058,5.956,6.984,0.585,10.22,10.161,18.667,21.691,1.619,8.986,9.897,1.189,2.141,0.466,0.02,0.0,1.189,2.141,0.466,0.02,0.0,213.0,286.0,29.0,130.0,103.0,12.147,15.612,1.202,19.602,20.334
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C
Sector 31-33 Industrias manufactureras,9.437,11.346,C,5.155,8.66,2.385,6.496,C,3.285,5.463,7.052,4.85,C,1.87,3.197,0.0,0.013,C,-0.007,0.0,0.0,0.0,C,0.012,0.0,89.0,20.0,C,23.0,15.0,2.48,4.565,C,8.149,3.603
Sector 43 Comercio al por mayor,C,C,2.416,C,1.623,C,C,0.663,C,0.223,C,C,1.753,C,1.4,C,C,0.0,C,-0.004,C,C,0.0,C,0.0,C,C,12.0,C,10.0,C,C,5.733,C,0.361
Sector 46 Comercio al por menor,16.652,20.961,17.871,38.848,53.407,3.052,4.637,3.828,6.93,8.011,13.6,16.324,14.043,31.918,45.396,0.028,1.739,0.227,1.019,-0.189,0.0,0.051,0.0,0.703,0.02,166.0,239.0,103.0,164.0,141.0,9.884,37.258,13.342,44.572,13.378
Sector 52 Servicios financieros y de seguros,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A
Sector 62 Servicios de salud y de asistencia social,1.042,2.614,1.18,1.03,C,0.342,1.189,0.647,0.353,C,0.7,1.425,0.533,0.677,C,0.001,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,14.0,29.0,7.0,12.0,C,1.004,2.181,0.712,10.663,C
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.579,19.372,5.097,8.26,15.562,2.981,4.92,2.889,5.407,8.885,1.598,14.452,2.208,2.853,6.677,0.023,0.015,0.0,0.0,-0.076,0.005,0.0,0.0,0.0,0.003,42.0,91.0,43.0,58.0,92.0,3.639,15.513,1.668,3.851,2.334
Sector 81 Otros servicios excepto actividades gubernamentales,1.04,3.587,0.894,5.482,2.885,0.576,1.467,0.439,1.833,1.059,0.464,2.12,0.455,3.649,1.826,0.131,0.001,0.0,0.012,0.095,0.13,0.001,0.0,0.012,0.0,36.0,61.0,19.0,68.0,40.0,1.581,5.721,1.046,2.871,1.273
Total 014 Guerrero,60.204,92.927,48.076,97.585,141.732,16.599,29.222,11.651,31.263,50.886,43.605,63.705,36.425,66.322,90.846,1.552,3.889,0.704,-0.699,-0.189,1.506,2.193,0.477,0.747,0.023,590.0,755.0,235.0,496.0,445.0,33.419,87.361,27.573,100.357,51.066
checksum,57.373 + 4C,86.555 + 6C,29.662 + 4C,77.981 + 4C,102.195 + 5C,15.292 + 4C,25.693 + 6C,9.051 + 4C,28.028 + 4C,33.802 + 5C,42.081 + 4C,60.862 + 6C,20.611 + 4C,49.953 + 4C,68.393 + 5C,1.372 + 4C,3.909 + 6C,0.693 + 4C,1.044 + 4C,-0.174 + 5C,1.324 + 4C,2.193 + 6C,0.466 + 4C,0.747 + 4C,0.023 + 5C,560 + 4C,726 + 6C,213 + 4C,455 + 4C,401 + 5C,30.735 + 4C,80.85 + 6C,23.703 + 4C,89.708 + 4C,41.283 + 5C
