Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
Sector 21 Minería,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A
Sector 31-33 Industrias manufactureras,69.464,39.831,185.955,204.6,259.413,19.595,10.504,113.889,79.87,162.174,49.869,29.327,72.066,124.73,97.239,1.174,0.053,0.142,10.369,0.396,0.617,-0.002,0.12,9.562,0.4,793.0,581.0,654.0,1090.0,340.0,16.62,6.606,83.447,56.194,26.929
Sector 43 Comercio al por mayor,61.776,34.466,27.273,133.311,162.784,8.14,9.482,4.472,60.789,20.834,53.636,24.984,22.801,72.522,141.95,-1.176,3.13,-1.645,-7.112,2.066,0.541,0.281,0.022,2.116,0.931,108.0,109.0,112.0,227.0,168.0,16.89,39.261,19.755,362.903,144.9
Sector 46 Comercio al por menor,60.128,56.716,113.008,180.194,465.744,12.568,30.625,29.005,35.117,63.822,47.56,26.091,84.003,145.077,401.922,0.933,3.079,3.231,8.392,1.159,0.295,1.294,1.566,3.286,0.242,575.0,666.0,504.0,774.0,802.0,32.934,63.346,57.723,109.047,101.773
"Sector 48-49 Transportes, correos y almacenamiento",2.202,C,C,C,5.33,1.278,C,C,C,2.207,0.924,C,C,C,3.123,0.0,C,C,C,0.0,0.0,C,C,C,0.0,19.0,C,C,C,16.0,2.525,C,C,C,7.04
Sector 51 Información en medios masivos,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 52 Servicios financieros y de seguros,C,1.474,9.305,42.654,40.673,C,0.44,3.143,28.54,15.444,C,1.034,6.162,14.114,25.229,C,0.0,0.005,0.014,0.002,C,0.0,0.005,0.015,0.0,C,13.0,17.0,25.0,30.0,C,0.673,15.818,6.288,1.743
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.856,1.304,1.669,3.687,5.426,0.827,0.808,0.682,1.488,2.52,1.029,0.496,0.987,2.199,2.906,0.005,0.025,0.019,0.517,0.01,0.0,0.025,0.003,0.496,0.03,31.0,36.0,23.0,50.0,43.0,2.427,7.11,3.451,26.952,29.398
"Sector 54 Servicios profesionales, científicos y técnicos",2.09,3.934,3.396,7.278,6.352,0.953,1.155,1.197,2.608,1.845,1.137,2.779,2.199,4.67,4.507,0.05,0.058,0.137,0.07,0.016,0.05,0.058,0.137,0.083,0.016,19.0,34.0,31.0,33.0,30.0,1.721,3.111,3.061,7.122,2.039
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",N/A,0.163,2.331,1.127,1.069,N/A,0.104,0.364,0.819,0.783,N/A,0.059,1.967,0.308,0.286,N/A,0.002,0.189,0.024,0.001,N/A,0.002,0.176,0.024,0.0,N/A,6.0,12.0,14.0,6.0,N/A,0.283,0.652,1.547,0.379
Sector 61 Servicios educativos,C,0.989,C,3.281,C,C,0.282,C,1.269,C,C,0.707,C,2.012,C,C,0.042,C,0.0,C,C,0.042,C,0.0,C,C,65.0,C,35.0,C,C,0.391,C,4.583,C
Sector 62 Servicios de salud y de asistencia social,0.724,3.276,4.72,6.841,3.46,0.305,1.581,1.927,4.143,1.693,0.419,1.695,2.793,2.698,1.767,0.007,0.038,0.063,0.048,0.065,0.0,0.021,0.063,0.054,0.065,9.0,74.0,36.0,50.0,30.0,1.529,4.689,5.862,12.101,2.087
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.228,1.171,1.354,1.362,3.279,0.139,0.622,0.716,0.556,1.072,0.089,0.549,0.638,0.806,2.207,0.005,0.0,0.051,0.27,1.73,0.0,0.0,0.048,0.263,1.73,3.0,32.0,17.0,26.0,15.0,0.175,1.294,1.019,8.322,7.64
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,16.263,16.641,17.628,49.276,61.955,8.829,9.928,10.333,28.839,30.095,7.434,6.713,7.295,20.437,31.86,0.307,0.025,0.032,0.333,0.161,0.288,0.023,0.034,0.326,0.188,124.0,196.0,147.0,284.0,264.0,9.582,7.371,9.673,31.247,19.312
Sector 81 Otros servicios excepto actividades gubernamentales,9.628,12.04,65.349,39.231,46.557,3.623,5.868,37.717,20.206,16.115,6.005,6.172,27.632,19.025,30.442,0.222,0.069,21.835,0.261,0.541,0.207,0.061,1.615,0.255,0.556,241.0,262.0,261.0,288.0,279.0,9.652,15.868,50.425,30.39,26.209
Total 015 Gustavo Díaz Ordaz,224.675,181.889,469.832,686.742,1609.4,61.928,76.533,228.577,271.819,421.341,162.747,105.356,241.255,414.923,1188.059,1.554,7.759,24.108,13.183,233.332,2.006,3.043,3.836,16.48,231.313,1972.0,2124.0,1867.0,2949.0,2140.0,99.03,181.219,262.705,667.374,1593.732
checksum,224.359 + 4C,172.005 + 4C,431.988 + 5C,672.842 + 3C,1062.042 + 4C,56.257 + 4C,71.399 + 4C,203.445 + 5C,264.244 + 3C,318.604 + 4C,168.102 + 4C,100.606 + 4C,228.543 + 5C,408.598 + 3C,743.438 + 4C,1.527 + 4C,6.521 + 4C,24.059 + 5C,13.186 + 3C,6.147 + 4C,1.998 + 4C,1.805 + 4C,3.789 + 5C,16.48 + 3C,4.158 + 4C,1922 + 4C,2074 + 4C,1814 + 5C,2896 + 3C,2023 + 4C,94.055 + 4C,150.003 + 4C,250.886 + 5C,656.696 + 3C,369.449 + 4C
