Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.1,0.258,0.242,C,0.517,0.015,0.071,0.057,C,0.201,0.085,0.187,0.185,C,0.316,0.007,0.0,0.02,C,0.0,0.007,0.0,0.02,C,0.0,6.0,11.0,7.0,C,5.0,0.022,0.126,0.791,C,0.079
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 31-33 Industrias manufactureras,95.754,78.631,76.039,15.522,28.833,60.833,45.812,69.798,10.625,16.251,34.921,32.819,6.241,4.897,12.582,-0.182,0.745,-0.139,0.011,-0.045,0.168,0.745,0.167,0.013,0.011,473.0,592.0,225.0,84.0,126.0,17.995,11.931,3.72,3.359,8.422
Sector 43 Comercio al por mayor,9.089,5.679,13.946,31.633,28.73,3.194,1.567,3.089,2.627,4.23,5.895,4.112,10.857,29.006,24.5,0.093,0.339,0.239,1.504,-1.669,0.121,0.191,0.0,0.622,0.098,74.0,71.0,44.0,73.0,129.0,9.65,8.282,6.552,18.181,16.55
Sector 46 Comercio al por menor,35.274,49.912,70.556,109.462,161.87,8.151,14.525,18.089,21.391,31.883,27.123,35.387,52.467,88.071,129.987,1.847,0.515,6.172,1.285,-3.576,1.592,0.185,-0.223,1.981,1.076,498.0,606.0,550.0,448.0,704.0,23.134,43.093,38.895,34.166,73.379
"Sector 48-49 Transportes, correos y almacenamiento",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 51 Información en medios masivos,N/A,11.908,2.198,C,C,N/A,0.639,0.607,C,C,N/A,11.269,1.591,C,C,N/A,0.0,0.0,C,C,N/A,0.0,0.0,C,C,N/A,7.0,7.0,C,C,N/A,0.084,0.121,C,C
Sector 52 Servicios financieros y de seguros,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
"Sector 54 Servicios profesionales, científicos y técnicos",C,0.199,C,C,6.703,C,0.034,C,C,3.074,C,0.165,C,C,3.629,C,0.013,C,C,0.002,C,0.013,C,C,0.002,C,6.0,C,C,6.0,C,0.125,C,C,0.233
