Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A
Sector 31-33 Industrias manufactureras,36.843,129.444,137.255,420.508,546.685,29.361,89.085,98.139,386.696,446.201,7.482,40.359,39.116,33.812,100.484,1.965,5.936,2.693,2.69,3.126,1.941,5.934,2.753,3.314,1.603,236.0,361.0,274.0,554.0,647.0,6.654,62.715,69.39,117.09,261.389
Sector 43 Comercio al por mayor,3.265,21.976,23.171,1.64,5.84,1.495,0.718,3.661,0.575,1.118,1.77,21.258,19.51,1.065,4.722,0.142,0.079,-0.034,-0.072,-0.122,0.273,0.02,0.101,0.0,-0.031,18.0,37.0,33.0,24.0,33.0,2.881,1.104,10.699,2.007,4.911
Sector 46 Comercio al por menor,15.259,19.599,27.111,70.711,90.613,1.982,5.622,6.996,15.53,15.091,13.277,13.977,20.115,55.181,75.522,1.411,0.669,1.411,-0.513,3.97,0.112,0.378,0.33,0.047,0.855,295.0,302.0,302.0,421.0,431.0,7.3,22.591,17.265,28.252,44.773
"Sector 48-49 Transportes, correos y almacenamiento",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 51 Información en medios masivos,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A
Sector 52 Servicios financieros y de seguros,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.101,1.279,0.383,0.861,0.595,0.197,0.724,0.201,0.325,0.125,0.904,0.555,0.182,0.536,0.47,0.092,0.4,0.099,-0.001,0.002,0.092,0.4,0.07,0.0,0.002,10.0,12.0,10.0,14.0,9.0,0.29,2.845,1.059,6.159,2.986
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
