Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,11.0,7.605,4.053,5.098,14.203,3.587,4.439,2.524,2.461,7.996,7.413,3.166,1.529,2.637,6.207,0.144,0.111,0.093,0.0,4.526,0.134,0.109,0.089,0.001,4.547,195.0,103.0,44.0,33.0,69.0,2.945,7.027,1.509,1.867,6.372
Sector 43 Comercio al por mayor,3.164,9.888,,,16.277,0.558,3.401,,,1.103,2.606,6.487,,,15.174,0.252,1.815,,,3.861,0.012,0.018,,,3.953,22.0,34.0,,,189.0,0.824,2.138,,,6.265
Sector 46 Comercio al por menor,13.577,21.911,18.532,35.75,60.79,3.881,8.201,5.948,16.794,15.262,9.696,13.71,12.584,18.956,45.528,0.881,1.6,1.587,0.414,13.104,0.15,1.002,1.037,0.646,14.558,274.0,313.0,188.0,194.0,271.0,11.771,25.061,13.768,16.557,39.928
"Sector 48-49 Transportes, correos y almacenamiento",0.597,,,,,0.369,,,,,0.228,,,,,0.0,,,,,0.0,,,,,6.0,,,,,0.918,,,,
Sector 51 Información en medios masivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 52 Servicios financieros y de seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 61 Servicios educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.128,,,,1.034,0.055,,,,0.457,0.073,,,,0.577,0.007,,,,0.838,0.007,,,,0.838,4.0,,,,10.0,0.154,,,,2.813
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.062,11.46,2.626,4.473,25.48,1.978,5.631,1.367,2.946,12.213,2.084,5.829,1.259,1.527,13.267,0.012,0.0,0.04,0.004,3.061,0.009,0.0,0.04,0.005,3.062,49.0,102.0,32.0,48.0,141.0,2.299,2.445,0.416,1.439,17.791
Sector 81 Otros servicios excepto actividades gubernamentales,4.724,3.394,5.292,8.021,9.961,2.154,1.54,2.454,4.222,5.741,2.57,1.854,2.838,3.799,4.22,0.377,0.002,0.059,0.002,4.763,0.377,0.001,0.059,0.002,4.766,64.0,99.0,71.0,55.0,110.0,2.571,3.735,1.629,0.501,7.775
Total 018 Jiménez,40.061,57.626,37.367,83.801,135.656,13.923,25.232,15.403,36.883,46.622,26.138,32.394,21.964,46.918,89.034,1.713,3.53,1.893,0.439,30.941,0.727,1.134,1.331,0.722,32.497,644.0,690.0,385.0,452.0,829.0,23.355,43.82,25.577,54.773,91.005
checksum,37.252,54.258,30.503,53.342,127.745,12.582,23.212,12.293,26.423,42.772,24.67,31.046,18.21,26.919,84.973,1.673,3.528,1.779,0.42,30.153,0.689,1.13,1.225,0.654,31.724,614,651,335,330,790,21.482,40.406,17.322,20.364,80.944
