Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,6.382,7.392,8.102,8.511,24.056,3.736,4.946,3.766,4.502,13.45,2.646,2.446,4.336,4.009,10.606,0.015,0.014,-1.457,0.051,5.486,0.0,0.014,-1.495,0.025,5.486,68.0,91.0,41.0,71.0,71.0,5.249,4.249,3.104,4.888,5.926
Sector 43 Comercio al por mayor,5.192,3.672,3.903,1.903,5.347,1.724,2.494,1.458,0.327,0.933,3.468,1.178,2.445,1.576,4.414,-0.153,0.106,-1.766,0.024,0.602,0.113,0.04,-1.675,0.041,0.602,23.0,49.0,15.0,15.0,19.0,4.276,0.982,4.306,2.35,0.907
Sector 46 Comercio al por menor,18.979,19.171,12.071,154.468,92.552,5.776,4.872,5.03,44.332,24.061,13.203,14.299,7.041,110.136,68.491,1.836,1.242,-7.548,0.095,9.377,0.284,0.4,-7.987,-1.147,8.924,256.0,297.0,169.0,303.0,275.0,11.305,17.544,17.94,25.906,48.6
"Sector 48-49 Transportes, correos y almacenamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 51 Información en medios masivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 52 Servicios financieros y de seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,0.134,,0.271,2.191,,0.11,,0.106,0.34,,0.024,,0.165,1.851,,0.0,,0.002,1.618,,0.0,,0.002,1.618,,6.0,,10.0,12.0,,0.759,,1.34,2.339
"Sector 54 Servicios profesionales, científicos y técnicos",,,0.217,0.409,0.394,,,0.118,0.165,0.142,,,0.099,0.244,0.252,,,0.011,0.002,0.549,,,0.01,0.002,0.549,,,6.0,4.0,5.0,,,0.585,0.385,0.549
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,0.316,,,,,0.107,,,,,0.209,,,,,0.112,,,,,0.112,,,,,8.0,,,,,0.367,,,
Sector 61 Servicios educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,,0.621,0.808,5.141,1.914,,0.385,0.339,2.997,0.584,,0.236,0.469,2.144,1.33,,0.046,0.0,0.01,1.41,,0.046,0.0,0.009,1.41,,26.0,17.0,49.0,19.0,,1.645,1.834,9.166,3.41
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.437,7.263,4.717,8.094,25.123,2.258,5.305,2.243,4.512,10.584,3.179,1.958,2.474,3.582,14.539,0.264,0.134,-1.12,0.042,3.582,0.253,0.128,-1.12,0.04,3.582,53.0,100.0,41.0,73.0,104.0,3.242,3.39,3.687,4.314,11.824
Sector 81 Otros servicios excepto actividades gubernamentales,1.627,2.254,2.495,7.654,19.884,0.743,1.411,1.401,5.41,7.74,0.884,0.843,1.094,2.244,12.144,0.016,0.055,0.081,0.083,2.462,0.006,0.039,0.082,0.074,2.447,36.0,92.0,46.0,104.0,87.0,1.96,4.223,3.193,2.397,8.06
Total 019 Llera,50.857,42.346,35.448,189.9,994.166,16.272,20.329,15.487,63.252,505.712,34.585,22.017,19.961,126.648,488.454,3.223,1.227,-12.11,0.312,26.117,1.894,0.796,-12.496,-0.953,25.642,493.0,692.0,363.0,691.0,616.0,33.176,33.997,40.158,53.17,1549.045
checksum,37.617,40.823,32.313,186.451,171.461,14.237,19.63,14.355,62.351,57.834,23.38,21.193,17.958,124.1,113.627,1.978,1.709,-11.799,0.309,25.086,0.656,0.779,-12.185,-0.954,24.618,436,669,335,629,592,26.032,33.159,34.649,50.746,81.615
