Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.38,21.823,6.111,16.723,6.962,0.13,5.713,1.592,4.421,1.468,0.25,16.11,4.519,12.302,5.494,0.011,-0.094,0.005,0.0,0.0,0.011,0.006,0.005,0.0,0.0,11.0,45.0,34.0,65.0,43.0,0.423,1.552,3.957,7.92,11.288
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,109.941,140.6,79.201,,35.228,67.354,96.043,43.756,,20.466,42.587,44.557,35.445,,14.762,6.432,6.562,0.314,,-0.001,5.328,5.439,0.372,,0.0,831.0,663.0,349.0,,109.0,43.067,95.833,65.833,,20.869
Sector 31-33 Industrias manufactureras,1036.897,691.265,1783.261,1687.697,1921.809,765.922,538.835,1493.88,1398.396,1076.321,270.975,152.43,289.381,289.301,845.488,16.846,1.609,0.455,-63.468,249.998,-25.648,1.68,0.767,3.356,174.478,2918.0,2107.0,1955.0,1659.0,1888.0,326.216,296.35,323.322,558.964,679.901
Sector 43 Comercio al por mayor,413.905,601.377,705.253,1395.813,2458.701,65.086,220.385,230.195,206.306,518.525,348.819,380.992,475.058,1189.507,1940.176,27.109,32.233,51.288,23.566,-34.464,6.448,13.237,14.853,13.594,35.792,1207.0,1457.0,1640.0,1709.0,1971.0,110.387,256.271,226.89,409.756,547.25
Sector 46 Comercio al por menor,566.619,713.825,771.476,1535.988,2137.809,141.849,268.436,258.604,458.424,542.209,424.77,445.389,512.872,1077.564,1595.6,46.414,82.011,29.103,23.941,38.947,15.471,28.374,19.62,28.165,22.45,5912.0,6386.0,5661.0,5082.0,6151.0,278.86,375.677,448.289,1365.371,876.145
"Sector 48-49 Transportes, correos y almacenamiento",307.858,124.216,520.031,496.481,725.656,192.203,78.349,363.627,293.951,343.501,115.655,45.867,156.404,202.53,382.155,19.737,6.738,38.475,-0.716,125.676,15.03,7.224,38.556,-0.783,125.717,1233.0,527.0,1349.0,736.0,1333.0,251.758,210.922,249.308,335.933,983.575
Sector 51 Información en medios masivos,24.478,25.776,,60.438,52.299,14.143,15.479,,25.855,21.841,10.335,10.297,,34.583,30.458,0.955,3.174,,-0.004,0.004,1.201,3.174,,0.0,0.0,114.0,66.0,,125.0,64.0,26.627,44.056,,5.863,12.547
Sector 52 Servicios financieros y de seguros,9.284,41.216,21.997,99.893,130.084,2.652,12.005,9.758,69.14,44.545,6.632,29.211,12.239,30.753,85.539,0.007,0.299,0.892,0.393,1.742,-0.014,0.091,0.859,0.393,1.742,40.0,124.0,122.0,131.0,132.0,4.76,4.425,6.274,12.429,14.51
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8.957,7.935,10.565,15.035,25.615,3.7,4.654,4.245,6.304,11.17,5.257,3.281,6.32,8.731,14.445,0.555,0.046,0.681,0.821,0.083,0.546,0.061,0.581,0.86,0.069,108.0,121.0,118.0,117.0,185.0,15.178,10.905,20.844,24.459,50.614
"Sector 54 Servicios profesionales, científicos y técnicos",28.069,35.756,38.592,47.093,67.134,7.644,10.889,12.822,13.866,20.58,20.425,24.867,25.77,33.227,46.554,1.331,0.257,0.713,0.062,0.123,1.195,0.258,0.699,0.079,0.237,374.0,444.0,438.0,345.0,414.0,18.285,15.778,19.957,26.94,35.854
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",50.567,22.849,35.35,44.525,83.157,18.723,10.054,38.392,23.111,24.027,31.844,12.795,-3.042,21.414,59.13,0.681,1.627,1.509,0.31,1.124,0.679,1.629,1.478,0.317,1.114,375.0,230.0,282.0,235.0,197.0,42.799,8.84,17.01,15.836,19.477
Sector 61 Servicios educativos,36.682,39.284,147.397,869.528,122.487,13.542,9.575,27.251,471.188,42.514,23.14,29.709,120.146,398.34,79.973,0.643,0.073,8.891,0.35,0.05,0.628,0.073,8.856,0.325,0.05,483.0,481.0,741.0,937.0,590.0,19.598,27.031,88.643,760.836,90.195
Sector 62 Servicios de salud y de asistencia social,26.034,35.57,47.052,72.144,147.35,7.928,14.731,17.22,36.497,49.375,18.106,20.839,29.832,35.647,97.975,1.291,0.782,5.913,1.455,0.823,1.107,0.726,5.761,1.453,0.77,323.0,500.0,441.0,536.0,647.0,26.412,22.81,38.573,68.64,107.773
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",11.01,18.053,12.315,8.905,19.867,6.034,6.588,4.971,4.602,8.428,4.976,11.465,7.344,4.303,11.439,0.018,0.592,2.0,0.08,0.106,0.002,0.572,2.085,0.082,0.106,131.0,183.0,115.0,117.0,190.0,11.194,21.142,7.319,9.77,34.88
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,122.232,197.954,198.441,280.389,584.693,73.479,104.011,116.472,165.527,295.343,48.753,93.943,81.969,114.862,289.35,2.604,1.473,3.74,2.283,1.023,1.402,1.416,3.681,2.253,0.885,1345.0,1853.0,1667.0,1802.0,2563.0,55.77,88.38,78.616,126.589,180.182
Sector 81 Otros servicios excepto actividades gubernamentales,60.931,106.698,141.852,261.942,283.923,28.365,42.522,65.274,146.463,103.811,32.566,64.176,76.578,115.479,180.112,3.798,2.111,10.681,3.695,1.287,3.101,1.848,4.93,3.645,1.199,1306.0,1813.0,1537.0,1516.0,1679.0,72.631,105.164,136.328,213.04,142.858
Total 021 El Mante,2852.749,2877.702,4600.708,6994.925,8944.391,1440.791,1455.781,2724.015,3359.461,3156.535,1411.958,1421.921,1876.693,3635.464,5787.856,132.356,147.751,153.756,-7.008,385.476,29.027,66.99,102.178,53.945,364.631,16926.0,17281.0,16789.0,15391.0,18384.0,1445.813,1710.77,1874.292,4109.891,3960.833
checksum,2813.844,2824.197,4518.894,6892.594,8802.774,1408.754,1438.269,2688.059,3324.051,3124.124,1405.09,1385.928,1830.835,3568.543,5678.65,128.432,139.493,154.66,-7.232,386.521,26.487,65.808,103.103,53.739,364.609,16711,17000,16449,15112,18156,1303.965,1585.136,1731.163,3942.346,3807.918
