Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",275.152,114.822,94.545,119.578,196.546,188.061,28.838,35.688,72.218,126.218,87.091,85.984,58.857,47.36,70.328,21.467,0.006,32.561,0.014,0.0,21.467,0.006,32.561,0.014,0.0,2252.0,1517.0,1391.0,1565.0,1387.0,122.039,69.559,117.057,98.003,204.546
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,695.642,2574.45,1036.488,1236.378,1886.965,360.97,1749.338,670.752,765.717,1067.075,334.672,825.112,365.736,470.661,819.89,5.706,59.987,1.941,5.49,2.23,4.452,49.326,4.917,4.946,1.806,3052.0,6531.0,1720.0,1829.0,1681.0,98.465,450.104,374.966,275.668,480.278
Sector 31-33 Industrias manufactureras,16720.201,20708.916,22594.416,43544.498,59728.621,5569.365,10254.643,11908.046,22400.114,23867.596,11150.836,10454.273,10686.37,21144.384,35861.025,774.867,871.759,787.718,845.419,821.947,683.416,578.56,805.061,813.722,778.494,58601.0,61210.0,62411.0,84144.0,83889.0,4386.693,5824.969,11345.787,14142.334,13632.046
Sector 43 Comercio al por mayor,1809.017,1204.749,1071.674,1679.291,4874.173,392.046,545.281,436.433,630.128,1221.566,1416.971,659.468,635.241,1049.163,3652.607,79.637,62.128,51.047,249.693,-15.677,62.269,46.129,41.827,246.055,95.946,3815.0,3781.0,3253.0,3405.0,4592.0,513.663,839.905,667.028,1914.934,2828.42
Sector 46 Comercio al por menor,2194.954,2764.396,3545.944,8746.069,13597.97,704.953,1226.553,1367.289,2649.492,2894.402,1490.001,1537.843,2178.655,6096.577,10703.568,177.234,191.643,-2083.209,296.405,458.356,76.23,156.921,-2217.602,248.705,215.497,19054.0,20233.0,19806.0,20553.0,28021.0,1260.481,2000.226,2863.357,3440.368,6747.408
"Sector 48-49 Transportes, correos y almacenamiento",727.482,1065.58,1669.361,2624.402,3980.076,296.149,557.091,1118.677,1353.463,1883.02,431.333,508.489,550.684,1270.939,2097.056,21.437,151.259,49.042,31.903,289.344,19.532,150.06,49.606,32.859,289.373,2132.0,2616.0,4837.0,4154.0,5468.0,438.987,1151.954,1277.361,1799.286,2768.634
Sector 51 Información en medios masivos,294.675,417.755,295.456,403.636,553.128,182.777,285.712,147.381,260.837,301.287,111.898,132.043,148.075,142.799,251.841,6.565,7.896,-2.341,15.265,5.559,6.372,7.397,-1.046,15.269,5.345,651.0,961.0,669.0,698.0,619.0,172.682,172.148,60.762,106.245,170.733
Sector 52 Servicios financieros y de seguros,96.046,124.083,147.058,447.158,654.28,41.444,66.425,76.471,266.26,395.904,54.602,57.658,70.587,180.898,258.376,0.695,1.332,0.992,1.94,2.025,0.485,0.366,2.585,1.93,2.543,379.0,524.0,516.0,943.0,756.0,17.054,24.184,25.373,39.077,56.251
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,892.305,652.379,182.917,457.49,843.544,398.567,495.432,93.715,156.799,268.844,493.738,156.947,89.202,300.691,574.7,332.052,1.294,9.427,4.039,24.118,391.324,1.965,9.332,4.44,23.478,871.0,927.0,806.0,959.0,1414.0,3664.747,191.47,312.619,427.943,473.95
"Sector 54 Servicios profesionales, científicos y técnicos",380.573,360.443,196.545,382.322,435.455,254.869,139.148,95.933,133.975,137.865,125.704,221.295,100.612,248.347,297.59,4.459,2.733,2.948,2.444,1.941,4.347,2.725,6.55,2.337,1.887,1229.0,1554.0,1465.0,1552.0,1451.0,75.174,105.183,75.548,92.006,186.873
Sector 55 Dirección y administración de grupos empresariales o corporativos,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",442.909,647.956,646.052,1210.102,1663.503,131.342,180.896,181.283,370.231,747.362,311.567,467.06,464.769,839.871,916.141,12.328,22.696,3.457,8.266,25.701,12.506,22.727,3.399,7.933,27.888,5366.0,6206.0,4893.0,3750.0,2288.0,94.636,111.23,716.382,230.367,306.716
Sector 61 Servicios educativos,194.872,237.923,675.471,575.365,934.665,48.771,59.937,255.496,193.284,338.433,146.101,177.986,419.975,382.081,596.232,7.681,3.677,101.721,7.668,3.154,7.514,3.568,101.752,7.865,0.432,1886.0,2362.0,3078.0,3199.0,2876.0,50.337,145.628,821.999,352.339,396.108
Sector 62 Servicios de salud y de asistencia social,192.79,393.594,530.373,853.271,1451.833,62.84,191.282,249.704,419.448,564.906,129.95,202.312,280.669,433.823,886.927,7.103,12.375,28.615,25.477,20.398,7.226,11.809,27.552,25.639,22.372,1486.0,2566.0,3276.0,3630.0,3568.0,189.614,269.107,289.393,383.675,473.021
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",57.375,102.389,88.528,83.512,264.865,32.774,47.466,30.976,35.373,73.863,24.601,54.923,57.552,48.139,191.002,0.356,1.072,0.673,0.32,12.696,0.309,1.077,0.682,0.331,12.693,279.0,673.0,553.0,679.0,808.0,19.708,97.99,65.145,46.683,267.402
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,730.39,1076.879,1273.039,2503.397,5302.017,392.43,594.368,777.757,1427.963,2542.695,337.96,482.511,495.282,1075.434,2759.322,5.248,13.065,25.641,40.971,14.308,5.166,12.972,26.157,39.097,14.81,5023.0,7249.0,6379.0,8607.0,11190.0,588.877,561.058,397.155,853.113,1531.525
Sector 81 Otros servicios excepto actividades gubernamentales,437.322,576.78,1261.83,1120.297,2101.467,191.75,268.68,396.95,511.916,791.478,245.572,308.1,864.88,608.381,1309.989,8.564,10.132,19.603,8.042,5.915,8.027,11.44,19.66,15.03,5.635,4868.0,6613.0,7400.0,7541.0,9423.0,296.07,602.404,485.84,486.284,829.303
Total 022 Matamoros,26880.127,33268.869,35788.259,66767.938,99343.758,9500.193,16837.524,17924.071,31808.38,37500.824,17379.934,16431.345,17864.188,34959.558,61842.934,2028.528,1544.44,-763.047,1546.159,1678.52,1877.027,1188.909,-879.794,1468.172,1502.461,111919.0,126458.0,123513.0,148147.0,160475.0,13188.862,13646.441,21462.015,25975.185,32957.842
checksum,26141.705 + 3C,33023.094 + 2C,35309.697 + 3C,65986.766 + 2C,98469.108 + 2C,9249.108 + 3C,16691.09 + 2C,17842.551 + 3C,31647.218 + 2C,37222.514 + 2C,16892.597 + 3C,16332.004 + 2C,17467.146 + 3C,34339.548 + 2C,61246.594 + 2C,1465.399 + 3C,1413.054 + 2C,-970.164 + 3C,1543.356 + 2C,1672.015 + 2C,1310.642 + 3C,1057.048 + 2C,-1087.007 + 3C,1466.172 + 2C,1498.199 + 2C,110944 + 3C,125523 + 2C,122453 + 3C,147208 + 2C,159431 + 2C,11989.227 + 3C,12617.119 + 2C,19895.772 + 3C,24688.325 + 2C,31353.214 + 2C
