Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
Sector 31-33 Industrias manufactureras,13.485,24.397,12.839,12.069,26.723,6.762,12.579,4.575,7.049,14.603,6.723,11.818,8.264,5.02,12.12,4.506,-0.007,0.036,0.099,1.768,0.0,0.0,0.002,0.08,1.765,144.0,154.0,88.0,91.0,119.0,5.218,5.769,5.301,5.308,3.943
Sector 43 Comercio al por mayor,C,0.49,C,1.533,2.808,C,0.124,C,0.152,0.195,C,0.366,C,1.381,2.613,C,0.025,C,-0.006,0.086,C,0.0,C,0.0,-0.007,C,17.0,C,14.0,14.0,C,5.544,C,1.992,0.222
Sector 46 Comercio al por menor,21.888,9.891,30.074,21.112,61.84,5.314,4.619,2.204,6.614,5.446,16.574,5.272,27.87,14.498,56.394,0.812,0.45,0.041,-0.286,1.987,0.305,0.246,-0.008,0.031,2.005,316.0,236.0,161.0,187.0,195.0,16.451,9.747,5.192,13.715,8.031
Sector 51 Información en medios masivos,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A
Sector 52 Servicios financieros y de seguros,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.315,0.465,N/A,C,C,0.222,0.24,N/A,C,C,0.093,0.225,N/A,C,C,0.0,0.0,N/A,C,C,0.0,0.0,N/A,C,C,10.0,8.0,N/A,C,C,0.566,0.0,N/A,C,C
"Sector 54 Servicios profesionales, científicos y técnicos",0.644,0.703,0.807,1.453,C,0.219,0.187,0.204,0.581,C,0.425,0.516,0.603,0.872,C,0.0,0.0,0.0,0.003,C,0.0,0.0,0.0,0.0,C,20.0,15.0,12.0,16.0,C,0.429,1.079,1.404,2.41,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A
Sector 61 Servicios educativos,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A
Sector 62 Servicios de salud y de asistencia social,0.232,0.248,C,C,N/A,0.116,0.167,C,C,N/A,0.116,0.081,C,C,N/A,0.0,0.0,C,C,N/A,0.0,0.0,C,C,N/A,11.0,12.0,C,C,N/A,0.61,0.055,C,C,N/A
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",N/A,1.298,N/A,C,C,N/A,0.694,N/A,C,C,N/A,0.604,N/A,C,C,N/A,0.0,N/A,C,C,N/A,0.0,N/A,C,C,N/A,13.0,N/A,C,C,N/A,1.2,N/A,C,C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7.384,11.149,5.236,10.499,17.143,5.007,6.812,3.25,6.133,7.801,2.377,4.337,1.986,4.366,9.342,0.03,0.01,0.048,0.0,0.186,0.03,0.01,0.05,0.0,0.186,98.0,126.0,57.0,92.0,89.0,5.487,24.686,1.52,2.267,2.504
Sector 81 Otros servicios excepto actividades gubernamentales,4.101,3.955,4.172,6.44,9.538,1.831,2.201,1.738,4.06,5.227,2.27,1.754,2.434,2.38,4.311,0.014,0.0,0.008,0.004,0.003,0.014,0.0,0.005,0.0,0.008,143.0,91.0,50.0,129.0,79.0,4.355,1.482,2.733,5.501,1.538
Total 024 Mier,52.96,58.3,58.907,61.058,130.119,21.069,29.754,13.601,25.902,35.733,31.891,28.546,45.306,35.156,94.386,5.324,0.494,0.041,0.932,4.199,0.349,0.272,0.049,1.229,4.126,789.0,699.0,401.0,562.0,522.0,34.194,50.467,28.368,38.01,21.788
checksum,48.049 + 7C,52.596 + 5C,53.128 + 5C,53.106 + 6C,118.052 + 4C,19.471 + 7C,27.623 + 5C,11.971 + 5C,24.589 + 6C,33.272 + 4C,28.578 + 7C,24.973 + 5C,41.157 + 5C,28.517 + 6C,84.78 + 4C,5.362 + 7C,0.478 + 5C,0.133 + 5C,-0.186 + 6C,4.03 + 4C,0.349 + 7C,0.256 + 5C,0.049 + 5C,0.111 + 6C,3.957 + 4C,742 + 7C,672 + 5C,368 + 5C,529 + 6C,496 + 4C,33.116 + 7C,49.562 + 5C,16.15 + 5C,31.193 + 6C,16.238 + 4C
