Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.518,3.406,3.073,3.126,12.198,0.607,0.72,1.569,1.575,6.779,0.911,2.686,1.504,1.551,5.419,0.05,0.075,0.06,0.0,0.05,0.05,0.075,0.06,0.0,0.05,26.0,31.0,31.0,22.0,65.0,0.524,1.17,2.595,1.215,14.506
Sector 21 Minería,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,C,C,C,25.27,36.444,C,C,C,19.902,28.036,C,C,C,5.368,8.408,C,C,C,-0.3,0.795,C,C,C,-0.3,0.81,C,C,C,52.0,51.0,C,C,C,7.334,20.092
Sector 31-33 Industrias manufactureras,30.576,44.603,44.157,81.682,138.858,13.705,25.131,27.071,52.852,83.517,16.871,19.472,17.086,28.83,55.341,0.304,1.184,2.866,0.098,-6.067,0.133,1.568,2.269,0.396,-5.866,444.0,292.0,265.0,287.0,288.0,26.453,20.003,27.827,27.29,57.66
Sector 43 Comercio al por mayor,146.264,63.703,48.819,123.104,283.833,23.11,24.95,13.321,54.29,74.144,123.154,38.753,35.498,68.814,209.689,4.201,11.802,1.323,5.859,5.09,0.149,11.736,0.533,5.89,0.0,338.0,231.0,150.0,292.0,168.0,31.858,48.76,18.748,40.51,31.865
Sector 46 Comercio al por menor,212.39,231.551,284.857,697.117,1344.38,47.741,84.553,80.1,162.89,496.087,164.649,146.998,204.757,534.227,848.293,14.322,22.955,12.781,14.871,-43.714,4.088,26.135,6.548,11.443,-25.006,1528.0,2001.0,1708.0,2057.0,2022.0,85.372,165.474,176.268,213.96,469.806
"Sector 48-49 Transportes, correos y almacenamiento",42.966,49.916,25.201,74.649,131.387,8.582,8.568,5.774,39.92,43.948,34.384,41.348,19.427,34.729,87.439,0.652,0.182,0.015,1.245,0.0,0.671,0.182,0.015,1.243,0.0,152.0,105.0,121.0,179.0,189.0,9.318,9.167,7.021,38.752,32.777
Sector 51 Información en medios masivos,10.194,4.335,4.955,C,C,5.075,3.728,1.954,C,C,5.119,0.607,3.001,C,C,0.141,0.403,0.015,C,C,0.14,0.403,0.01,C,C,102.0,48.0,38.0,C,C,2.501,3.218,1.649,C,C
Sector 52 Servicios financieros y de seguros,6.678,9.714,9.752,19.226,86.219,3.07,6.4,2.975,11.631,37.573,3.608,3.314,6.777,7.595,48.646,-0.03,0.0,0.085,0.098,-0.385,0.02,0.0,0.085,0.098,5.226,42.0,31.0,45.0,68.0,56.0,2.614,2.055,4.362,6.555,11.447
