Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,1.146,0.826,1.783,9.503,6.161,0.774,0.411,1.049,5.193,3.492,0.372,0.415,0.734,4.31,2.669,0.058,0.133,0.006,0.059,-0.001,0.0,0.141,0.006,0.058,0.0,12.0,23.0,27.0,53.0,36.0,0.595,0.642,0.996,2.808,1.858
Sector 43 Comercio al por mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 46 Comercio al por menor,1.42,1.337,3.645,13.94,17.322,0.175,0.845,0.675,2.58,3.301,1.245,0.492,2.97,11.36,14.021,0.062,0.364,0.05,0.434,-0.045,0.0,0.457,0.002,0.329,0.009,45.0,103.0,63.0,119.0,122.0,0.61,3.135,2.532,7.581,9.113
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 61 Servicios educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.65,1.203,1.502,9.725,6.67,0.445,0.708,1.074,5.814,4.193,0.205,0.495,0.428,3.911,2.477,0.007,0.035,0.0,0.026,0.0,0.0,0.045,0.0,0.026,0.0,7.0,24.0,23.0,59.0,46.0,0.419,0.624,1.161,1.493,1.812
Sector 81 Otros servicios excepto actividades gubernamentales,,,,2.878,1.769,,,,1.381,0.609,,,,1.497,1.16,,,,0.016,0.0,,,,0.016,0.0,,,,35.0,24.0,,,,1.286,3.28
Total 028 Nuevo Morelos,3.918,4.256,8.123,37.268,34.485,1.633,2.229,3.24,15.923,12.901,2.285,2.027,4.883,21.345,21.584,0.124,0.813,0.123,0.544,-0.045,0.0,0.895,0.01,0.432,0.009,86.0,176.0,137.0,281.0,254.0,2.338,4.94,6.047,14.459,18.907
checksum,3.216,3.366,6.93,36.046,31.922,1.394,1.964,2.798,14.968,11.595,1.822,1.402,4.132,21.078,20.327,0.127,0.532,0.056,0.535,-0.046,0,0.643,0.008,0.429,0.009,64,150,113,266,228,1.624,4.401,4.689,13.168,16.063
