Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 31-33 Industrias manufactureras,4.937,6.893,10.98,17.12,21.821,2.773,3.746,6.392,9.655,12.375,2.164,3.147,4.588,7.465,9.446,0.23,-0.001,0.562,0.023,0.086,0.167,0.011,0.525,0.155,0.052,67.0,86.0,120.0,115.0,125.0,3.06,2.186,7.626,6.189,4.901
Sector 43 Comercio al por mayor,1.741,4.717,0.505,17.193,31.008,0.237,0.618,0.348,4.361,3.557,1.504,4.099,0.157,12.832,27.451,0.162,0.139,0.185,0.362,1.402,0.0,0.0,0.001,0.3,0.99,18.0,21.0,7.0,52.0,84.0,1.4,2.465,1.597,4.922,6.805
Sector 46 Comercio al por menor,16.856,13.403,20.375,55.424,67.484,3.886,5.108,4.005,11.742,16.241,12.97,8.295,16.37,43.682,51.243,4.725,0.298,0.123,1.969,1.836,3.853,0.055,0.033,0.718,0.567,268.0,299.0,247.0,351.0,382.0,13.612,12.096,21.715,40.334,27.907
"Sector 48-49 Transportes, correos y almacenamiento",C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A
Sector 51 Información en medios masivos,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C,N/A,N/A,C,N/A,C
Sector 52 Servicios financieros y de seguros,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,C,1.318,0.539,0.613,0.759,C,0.933,0.431,0.13,0.354,C,0.385,0.108,0.483,0.405,C,0.0,0.011,0.021,0.0,C,0.0,0.0,0.021,0.0,C,13.0,12.0,18.0,13.0,C,2.843,4.91,1.129,0.785
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",C,1.277,1.166,C,C,C,0.79,0.491,C,C,C,0.487,0.675,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,29.0,9.0,C,C,C,1.354,0.625,C,C
Sector 61 Servicios educativos,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A
Sector 62 Servicios de salud y de asistencia social,C,C,0.325,1.824,2.246,C,C,0.173,0.881,1.238,C,C,0.152,0.943,1.008,C,C,-0.03,0.002,0.163,C,C,-0.03,0.002,0.158,C,C,4.0,18.0,21.0,C,C,0.353,2.191,1.237
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
