Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,7.693,33.028,,,,4.33,7.629,,,,3.363,25.399,,,,0.143,0.02,,,,0.143,0.02,,,,84.0,101.0,,,,2.077,11.717
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,7.692,11.704,13.169,17.121,24.299,5.339,8.104,8.492,9.869,15.533,2.353,3.6,4.677,7.252,8.766,0.145,0.346,0.775,-0.007,0.443,0.084,0.336,0.754,-0.007,0.444,58.0,88.0,84.0,98.0,102.0,2.284,4.99,4.288,8.461,10.903
Sector 43 Comercio al por mayor,4.087,6.157,8.572,24.089,103.225,0.48,3.627,1.567,13.133,25.205,3.607,2.53,7.005,10.956,78.02,-0.022,0.292,0.635,-0.54,0.219,0.0,0.286,-0.111,0.175,0.063,27.0,58.0,31.0,64.0,74.0,8.243,7.017,5.358,14.194,23.832
Sector 46 Comercio al por menor,24.311,30.247,30.997,188.387,132.922,2.943,6.733,10.388,24.696,26.024,21.368,23.514,20.609,163.691,106.898,4.525,3.22,3.164,-30.607,4.499,0.115,2.747,1.831,1.994,4.033,317.0,542.0,420.0,445.0,592.0,11.736,30.038,20.377,1996.366,55.266
"Sector 48-49 Transportes, correos y almacenamiento",0.38,,,,,0.148,,,,,0.232,,,,,0.0,,,,,0.0,,,,,10.0,,,,,1.27,,,,
Sector 51 Información en medios masivos,,,1.174,,,,,0.733,,,,,0.441,,,,,0.003,,,,,0.003,,,,,6.0,,,,,0.516,,
Sector 52 Servicios financieros y de seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,0.412,0.521,,1.423,,0.329,0.186,,0.577,,0.083,0.335,,0.846,,0.205,0.0,,0.0,,0.205,0.0,,0.0,,39.0,10.0,,15.0,,2.274,0.06,,2.805
"Sector 54 Servicios profesionales, científicos y técnicos",,0.499,,,0.564,,0.466,,,0.382,,0.033,,,0.182,,-0.048,,,0.011,,-0.048,,,0.019,,8.0,,,9.0,,0.251,,,0.484
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,0.21,0.359,7.467,0.368,,0.112,0.174,3.981,0.233,,0.098,0.185,3.486,0.135,,0.021,0.02,2.6,0.0,,0.021,0.02,2.6,0.0,,27.0,13.0,45.0,7.0,,0.402,0.413,14.633,0.312
Sector 61 Servicios educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 62 Servicios de salud y de asistencia social,0.37,1.553,1.729,1.531,5.387,0.226,0.827,0.64,0.824,2.471,0.144,0.726,1.089,0.707,2.916,0.085,0.242,0.143,0.578,0.0,0.08,0.24,0.13,0.58,0.0,9.0,32.0,22.0,25.0,28.0,0.803,2.133,1.955,3.653,3.979
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,0.12,,,,,0.034,,,,,0.086,,,,,0.401,,,,,0.402,,,,,3.0,,,,,0.645,,
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.661,15.37,9.468,21.842,52.014,2.587,7.531,5.854,12.504,28.508,2.074,7.839,3.614,9.338,23.506,0.013,0.318,0.339,0.007,1.738,0.001,0.32,0.353,0.007,1.848,68.0,225.0,162.0,183.0,286.0,1.425,7.23,4.227,6.442,8.13
Sector 81 Otros servicios excepto actividades gubernamentales,2.344,4.016,3.195,8.845,13.47,1.018,2.863,1.656,6.344,5.107,1.326,1.153,1.539,2.501,8.363,0.013,0.244,0.193,0.004,0.219,0.002,0.238,0.194,0.004,0.22,59.0,138.0,94.0,286.0,140.0,1.132,2.893,2.783,7.32,8.567
Total 030 Padilla,44.582,72.852,93.177,281.443,376.143,13.312,31.922,47.155,77.852,116.922,31.27,40.93,46.022,203.591,259.221,4.767,4.872,5.707,-27.773,7.149,0.29,4.373,3.607,5.545,6.647,568.0,1290.0,996.0,1267.0,1386.0,27.451,63.048,51.456,2075.515,238.018
checksum,43.845,70.168,69.304,276.975,366.7,12.741,30.592,29.724,75.681,111.669,31.104,39.576,39.58,201.294,255.031,4.759,4.84,5.673,-27.822,7.149,0.282,4.345,3.576,5.496,6.647,548,1157,845,1230,1354,26.893,57.228,40.622,2053.146,125.995
