Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,C,1.46,C,C,C,C,0.687,C,C,C,C,0.773,C,C,C,C,0.059,C,C,C,C,0.059,C,C,C,C,18.0,C,C,C,C,2.321,C
Sector 21 Minería,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,1423.336,4009.86,1904.208,2655.751,2413.853,880.833,2785.559,1170.5,1766.115,1383.636,542.503,1224.301,733.708,889.636,1030.217,47.195,310.577,0.87,-32.367,17.396,28.072,268.513,1.104,-31.486,14.374,4527.0,5580.0,2799.0,3151.0,3432.0,413.063,1388.426,866.34,796.047,984.976
Sector 31-33 Industrias manufactureras,23998.751,75365.203,60364.854,75224.187,113513.183,12707.341,42752.024,33062.184,44146.564,42249.597,11291.41,32613.179,27302.67,31077.623,71263.586,405.377,863.04,888.919,890.009,1796.952,386.718,709.902,869.131,816.457,1960.704,78489.0,105397.0,100455.0,142652.0,156496.0,5293.205,10632.183,17632.685,18312.275,26399.666
Sector 43 Comercio al por mayor,1744.384,2500.881,3064.676,6046.944,7909.718,565.722,917.763,1182.663,1023.831,1849.65,1178.662,1583.118,1882.013,5023.113,6060.068,95.691,108.932,34.361,271.169,121.198,54.345,41.386,45.812,295.112,147.531,4491.0,5838.0,6493.0,6232.0,9264.0,566.393,919.407,1427.729,1812.754,1986.062
Sector 46 Comercio al por menor,3077.707,4346.892,5520.114,12958.977,18465.746,832.245,1740.175,2077.957,3510.226,4739.733,2245.462,2606.717,3442.157,9448.751,13726.013,149.477,260.303,-2760.987,494.716,583.505,75.098,190.961,-2808.265,454.902,377.712,20685.0,25675.0,27108.0,28633.0,37366.0,1300.727,2030.458,3067.257,5985.608,6907.742
"Sector 48-49 Transportes, correos y almacenamiento",1141.22,1933.984,3019.913,3380.521,9051.902,533.102,500.005,1668.397,1817.265,4309.136,608.118,1433.979,1351.516,1563.256,4742.766,27.839,64.399,306.267,103.418,370.631,26.704,64.06,306.803,125.014,371.363,3080.0,2791.0,5664.0,7127.0,9772.0,666.929,2359.659,3785.179,3200.123,4694.799
Sector 51 Información en medios masivos,403.833,1316.646,662.528,5096.283,1595.708,197.046,829.9,339.794,1982.779,620.676,206.787,486.746,322.734,3113.504,975.032,79.701,23.234,-2.286,538.698,2.36,75.59,36.826,-2.236,538.706,2.657,1903.0,1482.0,852.0,3361.0,2852.0,268.568,337.726,191.775,1241.706,126.771
Sector 52 Servicios financieros y de seguros,156.287,88.899,218.729,467.716,613.212,80.365,55.897,106.861,373.805,295.057,75.922,33.002,111.868,93.911,318.155,2.022,0.509,1.806,2.329,1.25,0.879,0.509,1.785,2.171,1.369,431.0,573.0,702.0,1135.0,891.0,18.135,23.101,31.506,99.61,199.544
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,496.635,709.021,796.639,650.413,660.331,175.853,323.365,479.967,293.718,269.873,320.782,385.656,316.672,356.695,390.458,47.12,25.447,7.929,44.133,22.602,46.349,25.458,7.607,42.384,25.088,1718.0,2379.0,2365.0,1560.0,1963.0,493.729,271.943,419.512,584.644,277.549
"Sector 54 Servicios profesionales, científicos y técnicos",1368.808,1680.147,2219.004,923.32,1374.25,383.452,744.423,1758.049,400.362,585.936,985.356,935.724,460.955,522.958,788.314,320.04,42.45,12.785,23.444,-0.823,319.83,42.514,13.058,23.522,4.528,1618.0,3437.0,2552.0,2092.0,2143.0,1400.817,533.691,974.009,388.13,279.256
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",612.366,2140.516,2144.691,2535.792,1694.969,323.855,484.492,900.471,940.535,551.868,288.511,1656.024,1244.22,1595.257,1143.101,1.67,-3.026,10.836,33.428,19.949,3.299,0.921,10.009,34.217,19.613,2822.0,8420.0,8970.0,7632.0,3670.0,91.088,170.528,258.191,610.778,1355.036
Sector 61 Servicios educativos,304.98,439.29,738.799,944.478,1563.789,80.86,172.426,191.805,286.202,379.479,224.12,266.864,546.994,658.276,1184.31,6.718,25.506,11.82,15.428,8.231,6.307,25.28,11.833,15.33,13.765,2377.0,3135.0,4121.0,4578.0,4241.0,168.957,340.962,229.838,570.866,863.804
Sector 62 Servicios de salud y de asistencia social,219.828,480.809,480.625,917.883,1871.718,103.156,207.281,199.411,424.704,891.023,116.672,273.528,281.214,493.179,980.695,4.48,25.208,4.624,19.657,60.385,3.914,25.892,4.348,18.252,60.451,1569.0,3117.0,2804.0,3402.0,4276.0,151.839,203.055,233.373,559.886,595.924
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",76.332,65.801,80.449,91.749,215.708,41.865,16.734,21.865,27.852,68.693,34.467,49.067,58.584,63.897,147.015,0.277,1.655,1.559,-1.511,13.869,0.258,1.653,1.502,-1.563,13.863,216.0,410.0,491.0,552.0,693.0,21.815,63.45,87.394,93.015,257.437
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1159.774,1754.637,1992.378,2654.083,5322.11,687.613,954.517,1161.214,1511.049,2400.792,472.161,800.12,831.164,1143.034,2921.318,27.035,10.548,9.074,37.855,21.625,28.675,10.534,11.569,35.591,18.341,8053.0,8989.0,8430.0,8820.0,11639.0,766.741,715.729,640.394,1320.375,1758.447
Sector 81 Otros servicios excepto actividades gubernamentales,698.869,832.517,996.729,2489.393,2928.986,1009.108,784.406,515.72,1064.749,1087.964,-310.239,48.111,481.009,1424.644,1841.022,37.417,35.968,10.708,7.88,4.283,38.619,29.388,11.542,7.023,11.779,5900.0,8099.0,7958.0,9626.0,9688.0,481.05,496.876,481.884,1044.412,733.221
Total 032 Reynosa,57476.748,144379.46,118420.455,153259.384,179220.532,19226.069,64412.325,47820.688,61618.594,62889.685,38250.679,79967.135,70599.767,91640.79,116330.847,1393.081,13781.473,1633.755,9034.619,3190.272,1232.663,14684.941,1581.071,8958.77,4072.278,141470.0,191158.0,185044.0,233862.0,260071.0,25897.487,40879.491,53521.023,63758.01,50391.963
checksum,36883.11 + 3C,97665.103 + 3C,84204.336 + 3C,117038.95 + 2C,169195.183 + 3C,18602.416 + 3C,53268.967 + 3C,44836.858 + 3C,59570.443 + 2C,61683.113 + 3C,18280.694 + 3C,44396.136 + 3C,39367.478 + 3C,57468.507 + 2C,107512.07 + 3C,1252.059 + 3C,1794.75 + 3C,-1461.715 + 3C,2448.345 + 2C,3043.413 + 3C,1094.657 + 3C,1473.797 + 3C,-1514.398 + 3C,2375.691 + 2C,3043.138 + 3C,137879 + 3C,185322 + 3C,181764 + 3C,230571 + 2C,258386 + 3C,12103.056 + 3C,20487.194 + 3C,30327.066 + 3C,36622.55 + 2C,47420.234 + 3C
