Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,166.19,168.371,46.923,172.422,172.806,134.368,81.889,27.099,105.519,104.643,31.822,86.482,19.824,66.903,68.163,1.673,2.002,0.103,-0.509,-1.171,1.571,1.846,0.371,-0.087,-0.882,602.0,367.0,263.0,328.0,293.0,36.251,38.989,33.187,64.094,38.389
Sector 31-33 Industrias manufactureras,680.504,1136.44,2065.92,3809.855,6213.198,269.004,604.567,1423.755,1374.595,2740.91,411.5,531.873,642.165,2435.26,3472.288,8.254,20.58,-6.975,275.109,-126.016,7.644,6.879,55.344,276.932,-110.071,3608.0,3407.0,4222.0,5152.0,5261.0,170.841,257.568,490.695,1220.24,1987.708
Sector 43 Comercio al por mayor,293.608,246.96,268.565,548.66,1048.451,93.616,77.401,108.26,282.652,282.635,199.992,169.559,160.305,266.008,765.816,20.512,14.096,8.991,-11.551,13.12,3.847,0.69,8.517,7.524,0.633,830.0,864.0,780.0,1121.0,678.0,189.954,147.822,247.601,690.569,288.67
Sector 46 Comercio al por menor,705.864,709.586,981.014,2348.93,3203.902,211.782,244.564,293.743,712.287,744.694,494.082,465.022,687.271,1636.643,2459.208,58.447,47.115,127.727,277.469,-13.417,6.165,22.639,89.532,256.635,18.54,5334.0,6068.0,5555.0,6808.0,7359.0,351.389,502.23,734.716,2372.419,1179.803
"Sector 48-49 Transportes, correos y almacenamiento",174.281,308.233,,410.617,548.899,59.521,146.745,,261.191,197.887,114.76,161.488,,149.426,351.012,9.184,47.156,,-11.759,351.572,8.998,47.152,,-11.776,351.576,406.0,550.0,,709.0,1338.0,146.599,191.59,,1042.206,1079.054
Sector 51 Información en medios masivos,,,50.881,,55.402,,,21.123,,32.718,,,29.758,,22.684,,,-1.788,,1.205,,,-1.763,,1.205,,,93.0,,68.0,,,16.396,,21.831
Sector 52 Servicios financieros y de seguros,26.756,32.719,28.464,120.763,117.107,7.723,16.402,8.642,67.706,54.158,19.033,16.317,19.822,53.057,62.949,0.428,-0.277,0.424,0.57,-0.126,0.323,0.228,0.418,0.957,0.286,88.0,128.0,116.0,216.0,136.0,8.448,4.824,7.762,33.587,13.588
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,56.892,35.829,32.78,35.567,62.513,8.033,19.195,11.164,9.841,20.778,48.859,16.634,21.616,25.726,41.735,0.635,1.709,2.254,1.153,15.179,0.598,1.688,2.176,1.14,15.319,179.0,244.0,177.0,208.0,256.0,38.844,28.869,25.453,44.563,70.774
"Sector 54 Servicios profesionales, científicos y técnicos",19.893,35.224,29.12,24.066,41.879,7.758,13.162,7.358,8.635,17.505,12.135,22.062,21.762,15.431,24.374,0.486,0.469,0.453,0.386,0.395,0.533,0.471,0.353,0.372,0.395,239.0,286.0,218.0,176.0,174.0,11.471,19.172,10.882,11.331,25.805
