Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,,,,2.627,4.478,,,,1.237,2.849,,,,1.39,1.629,,,,-0.018,4.825,,,,0.0,4.825,,,,21.0,33.0,,,,1.411,4.875
Sector 43 Comercio al por mayor,,,,0.26,0.456,,,,0.159,0.171,,,,0.101,0.285,,,,-0.068,1.573,,,,0.0,1.573,,,,7.0,9.0,,,,0.647,1.573
Sector 46 Comercio al por menor,4.748,3.507,3.179,27.304,8.675,1.37,0.472,4.456,1.966,2.25,3.378,3.035,-1.277,25.338,6.425,0.205,0.035,0.337,-0.341,7.215,0.0,0.0,0.009,0.0,7.246,65.0,94.0,92.0,83.0,115.0,0.813,1.83,2.341,7.6,13.279
"Sector 48-49 Transportes, correos y almacenamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,1.013,,,,,0.626,,,,,0.387,,,,,0.148,,,,,0.148,,,,,8.0,,,,,0.748
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.273,0.643,1.279,1.316,4.655,0.728,0.461,0.892,0.704,2.991,0.545,0.182,0.387,0.612,1.664,0.0,0.0,0.0,0.004,2.747,0.0,0.0,0.0,0.0,2.747,19.0,16.0,27.0,18.0,44.0,0.424,12.073,0.132,1.079,2.747
Sector 81 Otros servicios excepto actividades gubernamentales,0.141,0.43,0.381,1.033,2.513,0.1,0.173,0.17,0.399,1.112,0.041,0.257,0.211,0.634,1.401,0.0,0.0,0.002,-0.003,1.041,0.0,0.0,0.002,0.0,1.041,6.0,17.0,21.0,11.0,17.0,0.142,0.223,0.069,0.931,2.242
Total 034 San Carlos,6.968,10.311,7.571,39.358,23.168,2.752,4.745,7.239,8.296,10.305,4.216,5.566,0.332,31.062,12.863,0.214,0.01,0.354,-0.42,17.549,0.0,0.0,0.013,0.006,17.58,102.0,158.0,194.0,150.0,235.0,2.257,16.826,4.535,12.453,27.083
checksum,6.162,4.58,4.839,32.54,21.79,2.198,1.106,5.518,4.465,9.999,3.964,3.474,-0.679,28.075,11.791,0.205,0.035,0.339,-0.426,17.549,0,0,0.011,0,17.58,90,127,140,140,226,1.379,14.126,2.542,11.668,25.464
