Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",116.388,97.982,57.121,79.311,172.025,63.494,36.098,14.758,64.175,66.317,52.894,61.884,42.363,15.136,105.708,9.008,0.35,2.592,0.0,0.0,9.008,0.35,2.592,0.0,0.0,1704.0,1784.0,1417.0,1350.0,1463.0,66.296,73.716,123.579,184.825,218.138
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,2.9,24.314,,,,2.322,17.51,,,,0.578,6.804,,,,0.0,0.004,,,,0.0,0.0,,,,8.0,61.0,,,,0.796,28.403,,,
Sector 31-33 Industrias manufactureras,150.366,132.973,200.154,167.469,344.412,38.777,65.931,101.979,77.649,169.11,111.589,67.042,98.175,89.82,175.302,18.937,4.376,2.042,1.299,6.322,18.745,0.232,1.822,1.295,6.356,1082.0,813.0,625.0,614.0,638.0,72.657,38.13,111.57,75.966,211.166
Sector 43 Comercio al por mayor,147.908,133.658,122.402,359.911,753.995,33.124,66.573,36.812,124.781,133.976,114.784,67.085,85.59,235.13,620.019,6.601,21.461,3.035,-3.382,-20.366,3.379,17.423,-0.289,7.268,-2.709,575.0,569.0,314.0,461.0,449.0,81.81,110.516,73.885,231.642,511.45
Sector 46 Comercio al por menor,115.083,167.592,241.757,374.458,793.232,31.537,71.461,72.855,92.226,130.374,83.546,96.131,168.902,282.232,662.858,8.686,22.355,14.784,13.773,3.742,4.264,13.418,6.414,9.783,12.298,1354.0,2281.0,1661.0,1561.0,2343.0,69.085,159.48,248.797,424.44,295.856
"Sector 48-49 Transportes, correos y almacenamiento",4.262,,,2626.235,1496.263,1.716,,,937.514,654.433,2.546,,,1688.721,841.83,0.007,,,5.754,0.0,0.007,,,5.517,0.0,24.0,,,598.0,376.0,3.688,,,215.519,218.976
Sector 51 Información en medios masivos,6.369,16.098,1.978,,,3.646,7.459,1.137,,,2.723,8.639,0.841,,,1.002,0.486,0.11,,,0.945,0.478,0.11,,,36.0,50.0,24.0,,,6.22,20.894,2.741,,
Sector 52 Servicios financieros y de seguros,,4.491,1.212,11.615,,,1.19,0.341,5.157,,,3.301,0.871,6.458,,,0.001,0.0,0.0,,,0.0,0.0,0.0,,,36.0,12.0,30.0,,,3.577,0.216,0.446,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,15.653,3.663,6.416,2.951,5.805,4.75,2.641,4.454,1.348,2.968,10.903,1.022,1.962,1.603,2.837,0.06,0.006,0.011,0.0,0.258,0.044,0.0,0.011,0.0,0.233,96.0,89.0,28.0,32.0,51.0,4.698,10.357,10.461,6.558,7.152
