Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",26.691,14.576,18.329,107.46,105.712,12.726,4.772,6.042,55.903,64.563,13.965,9.804,12.287,51.557,41.149,1.249,0.3,0.119,0.204,0.845,1.249,0.3,0.119,0.204,0.845,388.0,569.0,459.0,557.0,293.0,11.715,28.324,20.793,40.969,58.137
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 31-33 Industrias manufactureras,11.379,12.585,123.003,17.266,72.754,6.972,7.668,76.042,6.753,44.267,4.407,4.917,46.961,10.513,28.487,0.561,0.346,-5.03,2.934,0.394,0.484,0.351,-5.073,2.933,0.174,84.0,138.0,202.0,162.0,204.0,12.134,10.168,267.873,21.095,23.407
Sector 43 Comercio al por mayor,23.098,59.899,32.41,69.986,899.275,5.737,28.998,8.741,19.457,228.645,17.361,30.901,23.669,50.529,670.63,2.051,10.934,0.435,3.505,-70.125,1.874,7.44,0.215,3.466,0.789,113.0,218.0,107.0,160.0,309.0,14.104,20.974,24.77,49.524,108.848
Sector 46 Comercio al por menor,50.856,56.665,120.821,260.589,460.792,12.532,17.572,30.334,38.018,83.392,38.324,39.093,90.487,222.571,377.4,3.465,5.871,4.515,6.689,6.519,2.41,1.376,2.173,10.791,3.415,588.0,666.0,668.0,842.0,1079.0,74.364,89.393,97.183,250.829,132.841
"Sector 48-49 Transportes, correos y almacenamiento",2.049,,,11.89,,0.808,,,7.261,,1.241,,,4.629,,0.0,,,0.0,,0.0,,,0.0,,16.0,,,19.0,,1.073,,,8.729,
Sector 51 Información en medios masivos,1.845,3.998,,,1.356,2.257,4.905,,,0.675,-0.412,-0.907,,,0.681,0.009,0.473,,,0.0,0.0,0.473,,,0.0,19.0,17.0,,,10.0,4.19,17.87,,,1.674
Sector 52 Servicios financieros y de seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.347,0.36,1.067,1.564,3.704,0.176,0.219,0.386,0.911,1.111,0.171,0.141,0.681,0.653,2.593,0.001,0.0,0.07,0.05,0.0,0.0,0.0,0.07,0.05,0.0,15.0,4.0,7.0,10.0,22.0,1.228,0.207,1.389,2.455,4.639
"Sector 54 Servicios profesionales, científicos y técnicos",1.514,3.263,13.233,7.75,9.48,0.605,2.062,6.297,1.71,4.428,0.909,1.201,6.936,6.04,5.052,0.02,-0.003,0.065,0.18,0.004,0.02,0.004,0.065,0.18,0.0,22.0,35.0,34.0,36.0,34.0,1.472,2.478,2.538,9.458,6.921
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,0.777,1.032,,,,0.38,0.534,,,,0.397,0.498,,,,0.007,0.097,,,,0.007,0.007,,,,10.0,18.0,,,,1.294,1.607,,
Sector 61 Servicios educativos,,,2.479,1.847,,,,0.478,0.54,,,,2.001,1.307,,,,-0.004,0.06,,,,0.02,0.06,,,,48.0,40.0,,,,1.2,2.455,
Sector 62 Servicios de salud y de asistencia social,0.964,1.537,4.509,6.205,7.537,0.425,0.54,2.043,3.499,2.901,0.539,0.997,2.466,2.706,4.636,0.029,-0.005,0.042,0.365,0.074,0.024,0.018,0.042,0.365,0.069,19.0,23.0,23.0,45.0,49.0,4.299,2.513,3.429,8.445,6.601
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1.727,1.308,0.974,,2.165,0.932,0.379,0.3,,0.739,0.795,0.929,0.674,,1.426,0.044,0.004,0.0,,0.0,0.032,0.005,0.0,,0.0,12.0,18.0,7.0,,13.0,0.795,3.342,0.319,,1.298
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,15.185,29.104,29.925,49.543,142.461,9.688,14.309,14.073,20.732,67.006,5.497,14.795,15.852,28.811,75.455,0.356,0.198,0.048,1.734,0.446,0.353,0.2,0.066,1.716,0.163,171.0,247.0,223.0,268.0,449.0,15.118,77.141,26.219,97.188,56.012
Sector 81 Otros servicios excepto actividades gubernamentales,4.683,7.282,13.915,27.864,51.858,2.162,2.959,6.306,10.978,21.148,2.521,4.323,7.609,16.886,30.71,-0.387,0.031,0.496,2.859,0.298,-0.388,0.038,0.491,2.793,0.102,126.0,154.0,177.0,214.0,262.0,15.494,8.119,12.794,27.558,15.106
Total 037 Soto la Marina,147.813,199.277,369.83,575.713,1788.713,56.302,88.093,155.699,170.186,528.407,91.511,111.184,214.131,405.527,1260.306,7.425,18.162,0.896,18.939,-61.575,6.085,10.218,-1.755,22.928,5.527,1649.0,2181.0,2063.0,2409.0,2816.0,174.661,292.0,464.957,527.01,437.686
checksum,140.338,191.354,361.697,561.964,1757.094,55.02,84.763,151.576,165.762,518.875,85.318,106.591,210.121,396.202,1238.219,7.398,18.156,0.853,18.58,-61.545,6.058,10.212,-1.805,22.558,5.557,1573,2099,1973,2353,2724,155.986,261.823,460.114,518.705,415.484
