Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",348.989,368.812,89.848,1145.935,1963.277,148.654,197.125,66.045,553.799,865.991,200.335,171.687,23.803,592.136,1097.286,6.133,4.038,0.027,5.949,0.007,6.133,4.038,0.027,5.999,0.007,1428.0,1409.0,626.0,1285.0,1299.0,324.389,330.258,175.402,256.872,417.631
Sector 21 Minería,126.0,,,,,142.254,,,,,-16.254,,,,,11.793,,,,,11.793,,,,,357.0,,,,,340.231,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,935.024,2092.408,1705.577,2500.766,2728.162,600.933,1189.898,1195.344,1657.2,1747.691,334.091,902.51,510.233,843.566,980.471,17.391,46.281,48.224,38.669,18.487,13.149,39.722,49.555,39.473,14.183,4856.0,7964.0,4279.0,4118.0,3423.0,161.958,353.756,489.454,618.332,796.444
Sector 31-33 Industrias manufactureras,2095.618,1410.979,1895.178,3266.379,3310.15,1243.133,837.237,1319.471,2021.2,1610.641,852.485,573.742,575.707,1245.179,1699.509,48.827,63.647,32.251,11.385,24.799,21.123,21.739,23.408,17.656,28.816,6743.0,6187.0,5231.0,5732.0,4817.0,757.138,549.422,516.496,527.001,673.96
Sector 43 Comercio al por mayor,1052.493,1466.2,1526.948,2720.077,6517.795,289.848,542.909,711.913,1130.864,1361.728,762.645,923.291,815.035,1589.213,5156.067,72.516,182.613,109.24,77.674,216.5,37.957,88.003,54.29,223.593,51.848,4417.0,4837.0,4450.0,4628.0,4472.0,367.123,625.444,677.978,1100.617,1382.758
Sector 46 Comercio al por menor,3747.522,4327.98,6481.064,9206.416,12573.698,1135.001,1808.744,2080.134,3139.753,3254.453,2612.521,2519.236,4400.93,6066.663,9319.245,285.055,313.589,186.401,274.455,603.794,85.758,226.167,126.806,356.375,268.204,24707.0,22425.0,22481.0,23495.0,22721.0,1829.079,2213.741,2523.307,5006.744,4048.665
"Sector 48-49 Transportes, correos y almacenamiento",1207.685,1572.559,1919.089,2213.094,3153.988,616.883,759.104,1069.619,917.142,1479.28,590.802,813.455,849.47,1295.952,1674.708,151.011,78.993,397.426,8.508,29.703,150.243,79.07,395.854,8.552,29.702,2805.0,1783.0,2468.0,3123.0,3010.0,1342.152,2730.896,3344.973,3463.994,1202.484
Sector 51 Información en medios masivos,1313.333,4867.062,,1175.39,,851.607,3409.967,,485.291,,461.726,1457.095,,690.099,,69.33,291.841,,22.408,,49.239,220.725,,22.941,,1517.0,1994.0,,1460.0,,1672.183,2246.64,,231.494,
Sector 52 Servicios financieros y de seguros,204.129,106.456,469.606,578.427,796.11,86.605,40.378,74.53,504.713,522.477,117.524,66.078,395.076,73.714,273.633,7.447,11.661,0.812,7.837,7.484,7.482,11.5,0.784,6.616,7.489,323.0,577.0,543.0,1211.0,973.0,51.809,50.152,27.586,95.859,180.734
