Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A
Sector 31-33 Industrias manufactureras,8.983,19.901,18.355,35.559,64.62,5.339,9.682,13.66,19.967,37.337,3.644,10.219,4.695,15.592,27.283,0.092,0.247,0.115,0.086,2.085,0.026,0.289,0.089,0.084,1.959,102.0,213.0,202.0,188.0,209.0,4.89,8.895,11.323,8.718,19.359
Sector 43 Comercio al por mayor,15.081,18.93,23.087,68.603,72.382,5.483,4.801,7.017,11.745,17.515,9.598,14.129,16.07,56.858,54.867,0.611,0.754,0.407,3.072,1.193,0.466,1.074,0.488,3.408,0.01,89.0,101.0,76.0,109.0,80.0,12.066,10.393,15.297,23.095,13.068
Sector 46 Comercio al por menor,43.497,53.721,51.96,106.1,193.59,11.311,15.089,20.908,20.874,60.097,32.186,38.632,31.052,85.226,133.493,4.365,0.319,2.127,2.787,8.518,0.122,0.654,1.875,1.626,5.706,667.0,927.0,772.0,835.0,995.0,21.082,59.285,47.599,67.826,117.818
"Sector 48-49 Transportes, correos y almacenamiento",C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C
Sector 51 Información en medios masivos,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 52 Servicios financieros y de seguros,C,C,4.627,C,C,C,C,1.02,C,C,C,C,3.607,C,C,C,C,1.045,C,C,C,C,1.045,C,C,C,C,30.0,C,C,C,C,4.653,C,C
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.99,C,0.666,0.533,3.447,0.458,C,0.259,0.262,1.454,0.532,C,0.407,0.271,1.993,0.103,C,0.031,0.0,0.083,0.1,C,0.021,0.0,0.052,11.0,C,25.0,36.0,20.0,3.525,C,7.331,0.616,6.546
"Sector 54 Servicios profesionales, científicos y técnicos",0.821,1.199,1.091,1.673,3.55,0.314,0.651,0.478,0.343,0.738,0.507,0.548,0.613,1.33,2.812,0.009,0.058,0.043,0.0,-0.08,0.006,0.06,0.043,0.0,0.01,10.0,19.0,15.0,16.0,18.0,0.705,1.528,1.899,0.564,2.816
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.868,1.294,0.963,0.45,C,0.395,0.922,0.641,0.28,C,0.473,0.372,0.322,0.17,C,0.002,0.042,0.014,0.0,C,0.0,0.049,0.015,0.0,C,8.0,19.0,17.0,7.0,C,0.415,1.177,0.774,0.262,C
Sector 61 Servicios educativos,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C
Sector 62 Servicios de salud y de asistencia social,0.959,1.101,1.604,3.384,10.746,0.296,0.398,0.884,1.295,4.354,0.663,0.703,0.72,2.089,6.392,0.001,0.089,0.005,0.097,0.072,0.0,0.089,0.005,0.1,0.04,15.0,35.0,28.0,56.0,79.0,1.395,1.486,1.369,1.661,10.41
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.577,C,C,0.179,1.448,0.139,C,C,0.141,0.714,0.438,C,C,0.038,0.734,0.0,C,C,0.0,0.001,0.0,C,C,0.0,0.001,22.0,C,C,8.0,14.0,0.598,C,C,0.991,2.551
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.76,24.91,25.284,54.038,89.706,5.419,13.128,15.337,30.64,48.092,4.341,11.782,9.947,23.398,41.614,0.39,0.031,0.057,0.012,2.001,0.351,0.14,0.044,0.006,1.844,147.0,209.0,225.0,305.0,410.0,9.295,13.248,24.522,22.485,75.829
