Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,27.317,39.588,50.821,130.219,119.813,16.6,27.156,32.072,63.779,74.115,10.717,12.432,18.749,66.44,45.698,0.009,-0.027,0.027,-0.14,1.071,0.009,0.001,0.0,0.03,0.841,154.0,192.0,183.0,157.0,363.0,6.706,24.314,22.688,8.779,147.43
Sector 31-33 Industrias manufactureras,897.999,815.84,1314.935,4306.394,2636.02,162.591,293.623,837.19,1148.423,480.326,735.408,522.217,477.745,3157.971,2155.694,-14.123,40.536,12.845,26.877,-7.203,-14.965,13.347,12.666,26.841,-7.121,6706.0,3620.0,5647.0,8678.0,7176.0,221.068,279.769,335.036,642.463,622.23
Sector 43 Comercio al por mayor,175.368,235.92,306.274,581.365,635.304,46.195,152.181,79.78,173.931,171.145,129.173,83.739,226.494,407.434,464.159,3.307,27.684,7.333,207.095,5.507,1.898,8.667,4.014,231.553,-0.02,660.0,705.0,731.0,922.0,738.0,123.329,141.075,379.27,1271.578,451.836
Sector 46 Comercio al por menor,302.25,351.31,456.777,914.712,1511.468,71.008,159.018,139.149,167.209,227.011,231.242,192.292,317.628,747.503,1284.457,23.068,39.932,41.734,24.9,16.5,8.793,22.526,14.993,25.359,7.971,3215.0,3743.0,2876.0,3126.0,3408.0,200.306,502.606,298.903,494.668,490.457
"Sector 48-49 Transportes, correos y almacenamiento",24.671,98.79,156.046,310.267,394.296,17.548,56.713,139.631,143.346,284.241,7.123,42.077,16.415,166.921,110.055,1.545,9.418,-2.749,1.695,4.285,1.545,8.308,-2.729,1.736,4.285,58.0,179.0,201.0,493.0,589.0,26.466,148.03,149.454,270.344,369.112
Sector 51 Información en medios masivos,,25.145,,,6.975,,7.407,,,4.536,,17.738,,,2.439,,0.025,,,0.0,,0.02,,,0.0,,64.0,,,15.0,,7.031,,,7.174
Sector 52 Servicios financieros y de seguros,11.28,10.793,7.514,83.503,56.919,8.014,4.948,2.23,29.966,20.156,3.266,5.845,5.284,53.537,36.763,0.069,0.005,0.002,0.468,0.062,0.001,0.0,0.0,1.868,0.062,58.0,91.0,53.0,178.0,151.0,6.019,3.804,1.413,17.97,18.28
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8.066,22.332,4.229,14.772,15.962,3.416,12.519,1.75,4.839,6.144,4.65,9.813,2.479,9.933,9.818,0.557,-0.3,0.498,3.165,-0.435,0.519,0.398,0.039,3.155,0.054,138.0,130.0,56.0,90.0,122.0,43.654,49.749,16.483,57.098,25.784
"Sector 54 Servicios profesionales, científicos y técnicos",21.108,13.71,18.472,23.276,36.648,6.092,4.167,4.981,6.405,13.937,15.016,9.543,13.491,16.871,22.711,0.232,0.021,0.017,0.087,0.949,0.224,0.021,0.017,0.087,0.948,187.0,152.0,162.0,167.0,164.0,22.088,17.267,15.121,11.633,37.522
