Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
Sector 21 Minería,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,974.845,2341.873,1640.333,1558.098,1847.138,619.82,1709.149,1022.34,976.542,1205.209,355.025,632.724,617.993,581.556,641.929,33.306,-21.054,-2.382,-1.596,-10.153,22.606,-26.037,2.959,-0.677,-9.867,6244.0,5871.0,4408.0,2723.0,2038.0,269.541,888.693,679.675,609.897,612.612
Sector 31-33 Industrias manufactureras,2022.504,2595.579,4231.469,3159.507,3812.278,697.291,1306.623,2830.661,1252.027,1750.199,1325.213,1288.956,1400.808,1907.48,2062.079,252.535,18.462,73.496,47.451,40.547,244.495,23.85,40.155,47.191,46.53,9534.0,8061.0,9499.0,11862.0,9262.0,952.928,981.929,2310.665,1596.437,2011.133
Sector 43 Comercio al por mayor,801.246,1263.75,2110.076,3378.428,3114.504,210.776,434.15,712.777,591.17,569.782,590.47,829.6,1397.299,2787.258,2544.722,25.29,25.986,85.231,171.738,224.841,14.508,20.339,64.193,248.732,241.765,2972.0,3222.0,4344.0,3578.0,3054.0,221.007,523.505,948.243,1482.693,1332.735
Sector 46 Comercio al por menor,1727.493,2469.093,3371.891,6313.127,9144.976,511.047,938.661,1163.882,1819.54,1839.095,1216.446,1530.432,2208.009,4493.587,7305.881,124.188,181.435,250.97,149.259,254.847,33.083,119.808,127.779,145.651,202.445,14007.0,15543.0,16249.0,17780.0,18509.0,732.519,1554.592,2116.271,6200.603,3626.512
"Sector 48-49 Transportes, correos y almacenamiento",601.579,1182.539,1968.827,2461.664,2960.174,484.707,314.284,1009.756,892.35,1546.851,116.872,868.255,959.071,1569.314,1413.323,159.544,224.982,530.174,24.906,825.07,158.126,222.169,523.953,33.527,818.266,2293.0,3734.0,5054.0,4805.0,3992.0,294.807,1521.491,2489.745,2459.979,4961.614
Sector 51 Información en medios masivos,193.819,4784.081,469.077,446.364,458.327,84.572,2484.79,153.071,194.361,201.948,109.247,2299.291,316.006,252.003,256.379,9.122,373.473,0.834,8.655,3.148,6.224,385.3,1.275,8.768,3.124,1178.0,2852.0,1189.0,759.0,740.0,226.012,3895.67,276.762,117.466,119.52
Sector 52 Servicios financieros y de seguros,28.003,69.158,88.882,315.727,387.551,8.71,19.229,38.724,180.076,173.397,19.293,49.929,50.158,135.651,214.154,0.03,0.653,0.463,1.581,20.37,0.012,0.672,0.437,1.637,20.378,172.0,296.0,382.0,677.0,719.0,5.535,13.106,21.174,39.565,306.176
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,100.585,120.168,138.054,88.945,262.237,31.726,72.743,53.036,32.163,79.105,68.859,47.425,85.018,56.782,183.132,18.094,3.267,11.299,-0.733,1.778,7.411,3.319,11.198,-1.366,1.747,561.0,779.0,654.0,578.0,805.0,150.645,152.05,143.515,209.185,269.443
"Sector 54 Servicios profesionales, científicos y técnicos",153.474,310.469,202.9,285.616,509.789,62.116,145.659,84.462,81.282,162.694,91.358,164.81,118.438,204.334,347.095,4.138,8.846,4.563,1.735,1.336,3.626,9.312,4.552,1.863,1.355,1228.0,1955.0,1514.0,1307.0,1484.0,76.55,150.992,117.536,123.945,190.342
Sector 55 Dirección y administración de grupos empresariales o corporativos,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",357.793,170.158,513.184,590.349,515.179,259.777,46.339,141.304,135.408,145.996,98.016,123.819,371.88,454.941,369.183,5.043,3.471,2.555,9.131,6.802,4.477,3.479,2.316,11.856,6.705,2588.0,1530.0,2634.0,1914.0,1246.0,81.285,54.792,51.404,107.777,100.342
Sector 61 Servicios educativos,163.103,183.348,501.155,609.261,743.103,32.229,42.559,156.937,140.804,182.064,130.874,140.789,344.218,468.457,561.039,10.89,29.963,47.464,-7.744,6.113,10.674,29.944,47.412,-7.763,5.926,1436.0,1566.0,2404.0,2949.0,2729.0,104.812,185.749,136.398,439.648,748.05
Sector 62 Servicios de salud y de asistencia social,75.94,154.46,174.051,380.289,838.267,33.121,67.19,71.698,169.264,354.498,42.819,87.27,102.353,211.025,483.769,3.765,2.336,9.125,7.041,6.064,3.682,2.422,8.247,6.634,5.854,937.0,1786.0,1634.0,1957.0,2438.0,64.844,166.816,176.23,355.862,525.285
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",72.877,98.888,104.474,117.965,226.731,32.263,27.08,27.674,48.607,76.2,40.614,71.808,76.8,69.358,150.531,0.334,0.055,2.745,1.553,18.147,0.067,0.045,2.6,1.399,18.159,396.0,494.0,456.0,577.0,864.0,149.974,212.269,37.219,263.471,381.896
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,396.089,633.508,900.046,1440.043,2822.952,210.542,344.383,534.29,880.872,1399.16,185.547,289.125,365.756,559.171,1423.792,2.725,12.626,15.031,19.013,13.096,2.738,12.206,14.74,14.925,12.879,3165.0,4422.0,4893.0,6191.0,7531.0,292.447,455.924,486.988,452.081,785.203
Sector 81 Otros servicios excepto actividades gubernamentales,273.11,432.463,383.992,582.606,1038.153,116.577,509.656,173.75,305.986,387.797,156.533,-77.193,210.242,276.62,650.356,9.485,6.064,16.767,16.687,11.164,8.663,5.917,15.406,16.172,10.917,3462.0,4260.0,3796.0,4952.0,5102.0,256.153,348.175,277.226,408.112,562.354
Total 041 Victoria,8200.365,17204.214,16993.227,21947.717,28962.638,3455.118,8492.84,8272.483,7780.233,10160.196,4745.247,8711.374,8720.744,14167.484,18802.442,703.3,932.03,1052.567,472.121,1467.948,564.776,873.01,871.454,551.993,1430.961,50762.0,56917.0,59780.0,63312.0,61301.0,4012.53,11701.603,11101.489,15719.626,17277.763
checksum,7942.46 + 3C,16809.535 + 3C,16798.411 + 3C,21727.989 + 2C,28681.359 + 2C,3395.274 + 3C,8462.495 + 3C,8174.362 + 3C,7700.452 + 2C,10073.995 + 2C,4547.186 + 3C,8347.04 + 3C,8624.049 + 3C,14027.537 + 2C,18607.364 + 2C,658.489 + 3C,870.565 + 3C,1048.335 + 3C,448.677 + 2C,1423.17 + 2C,520.392 + 3C,812.745 + 3C,867.222 + 3C,528.549 + 2C,1386.183 + 2C,50173 + 3C,56371 + 3C,59110 + 3C,62609 + 2C,60513 + 2C,3879.059 + 3C,11105.753 + 3C,10269.051 + 3C,14866.721 + 2C,16533.217 + 2C
