Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",32.258 + 3C,17.436 + 6C,58.588 + 4C,123.45 + 5C,153.571 + 4C,14.309 + 3C,5.245 + 6C,16.225 + 4C,64.029 + 5C,75.964 + 4C,17.949 + 3C,12.191 + 6C,42.363 + 4C,59.421 + 5C,77.607 + 4C,1.56 + 3C,0.3 + 6C,4.916 + 4C,0.397 + 5C,1.214 + 4C,1.56 + 3C,0.3 + 6C,4.916 + 4C,0.397 + 5C,1.214 + 4C,456 + 3C,627 + 6C,734 + 4C,698 + 5C,443 + 4C,13.184 + 3C,40.403 + 6C,54.895 + 4C,51.308 + 5C,89.66 + 4C
Sector 21 Minería,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0,0 + 2C,0 + C,0 + C,0 + C,0
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C,0 + 13C,0 + 12C,0 + 12C,0 + 13C,0 + 13C
Sector 23 Construcción,974.845,2341.873 + 2C,1640.333 + 3C,1558.098 + C,1847.138 + 2C,619.82,1709.149 + 2C,1022.34 + 3C,976.542 + C,1205.209 + 2C,355.025,632.724 + 2C,617.993 + 3C,581.556 + C,641.929 + 2C,33.306,-21.054 + 2C,-2.382 + 3C,-1.596 + C,-10.153 + 2C,22.606,-26.037 + 2C,2.959 + 3C,-0.677 + C,-9.867 + 2C,6244,5871 + 2C,4408 + 3C,2723 + C,2038 + 2C,269.541,888.693 + 2C,679.675 + 3C,609.897 + C,612.612 + 2C
Sector 31-33 Industrias manufactureras,2164.339 + 4C,2796.612 + 3C,4470.106 + 3C,3325.017 + 2C,4000.399 + 2C,784.266 + 4C,1437.297 + 3C,2998.346 + 3C,1303.364 + 2C,1863.299 + 2C,1380.073 + 4C,1359.315 + 3C,1471.76 + 3C,2021.653 + 2C,2137.1 + 2C,253.473 + 4C,19.948 + 3C,67.746 + 3C,52.233 + 2C,56.208 + 2C,245.615 + 4C,26.544 + 3C,34.605 + 3C,51.961 + 2C,62.155 + 2C,10515 + 4C,9363 + 3C,10200 + 3C,12590 + 2C,9997 + 2C,999.149 + 4C,1051.474 + 3C,2598.072 + 3C,1644.53 + 2C,2078.478 + 2C
Sector 43 Comercio al por mayor,878.494 + 4C,1394.646 + 5C,2217.033 + 5C,3559.022 + 4C,5682.516 + 2C,230.768 + 4C,479.815 + 5C,745 + 5C,633.817 + 4C,1357.837 + 2C,647.726 + 4C,914.831 + 5C,1472.033 + 5C,2925.205 + 4C,4324.679 + 2C,30.789 + 4C,38.352 + 5C,85.549 + 5C,177.241 + 4C,-87.433 + 2C,17.73 + 4C,30.142 + 5C,63.008 + 5C,254.113 + 4C,251.132 + 2C,3341 + 4C,3733 + 5C,4625 + 5C,4015 + 4C,4525 + 2C,276.06 + 4C,579.993 + 5C,1124.897 + 5C,1579.964 + 4C,1852.338 + 2C
Sector 46 Comercio al por menor,1913.43 + 2C,2702.184 + 2C,3687.166,7254.477 + 2C,10255.432 + 2C,553.834 + 2C,1007.887 + 2C,1256.435,1991.082 + 2C,2075.74 + 2C,1359.596 + 2C,1694.297 + 2C,2430.731,5263.395 + 2C,8179.692 + 2C,143.672 + 2C,194.157 + 2C,249.707,130.807 + 2C,295.496 + 2C,39.241 + 2C,127.075 + 2C,117.546,163.314 + 2C,246.249 + 2C,16494 + 2C,18681 + 2C,18883,20644 + 2C,22387 + 2C,899.715 + 2C,1813.225 + 2C,2384.071,8589.374 + 2C,4102.279 + 2C
"Sector 48-49 Transportes, correos y almacenamiento",604.605 + 5C,1182.539 + 2C,1968.827 + 4C,2473.554 + 5C,2960.174 + 4C,486.032 + 5C,314.284 + 2C,1009.756 + 4C,899.611 + 5C,1546.851 + 4C,118.573 + 5C,868.255 + 2C,959.071 + 4C,1573.943 + 5C,1413.323 + 4C,159.544 + 5C,224.982 + 2C,530.174 + 4C,24.906 + 5C,825.07 + 4C,158.126 + 5C,222.169 + 2C,523.953 + 4C,33.527 + 5C,818.266 + 4C,2325 + 5C,3734 + 2C,5054 + 4C,4824 + 5C,3992 + 4C,298.068 + 5C,1521.491 + 2C,2489.745 + 4C,2468.708 + 5C,4961.614 + 4C
Sector 51 Información en medios masivos,196.181 + 3C,4799.987 + 4C,543.651 + 2C,446.364 + 3C,459.683 + 3C,87.192 + 3C,2490.334 + 4C,164.781 + 2C,194.361 + 3C,202.623 + 3C,108.989 + 3C,2309.653 + 4C,378.87 + 2C,252.003 + 3C,257.06 + 3C,9.133 + 3C,373.946 + 4C,16.249 + 2C,8.655 + 3C,3.148 + 3C,6.226 + 3C,385.773 + 4C,16.69 + 2C,8.768 + 3C,3.124 + 3C,1206 + 3C,2876 + 4C,1488 + 2C,759 + 3C,750 + 3C,230.651 + 3C,3913.624 + 4C,300.457 + 2C,117.466 + 3C,121.194 + 3C
Sector 52 Servicios financieros y de seguros,28.003 + C,69.158 + 5C,88.882 + 6C,315.727 + 5C,387.551 + 4C,8.71 + C,19.229 + 5C,38.724 + 6C,180.076 + 5C,173.397 + 4C,19.293 + C,49.929 + 5C,50.158 + 6C,135.651 + 5C,214.154 + 4C,0.03 + C,0.653 + 5C,0.463 + 6C,1.581 + 5C,20.37 + 4C,0.012 + C,0.672 + 5C,0.437 + 6C,1.637 + 5C,20.378 + 4C,172 + C,296 + 5C,382 + 6C,677 + 5C,719 + 4C,5.535 + C,13.106 + 5C,21.174 + 6C,39.565 + 5C,306.176 + 4C
