Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",3.417 + 2n,24.961 + 2n,13.859 + 2n,20.158 + n,14.819 + n,1.117 + 2n,6.949 + 2n,6.133 + 2n,6.286 + n,4.087 + n,2.3 + 2n,18.012 + 2n,7.726 + 2n,13.872 + n,10.732 + n,0.034 + 2n,-0.056 + 2n,0.049 + 2n,0.015 + n,-0.002 + n,0.034 + 2n,0.044 + 2n,0.049 + 2n,0.015 + n,-0.002 + n,66 + 2n,143 + 2n,124 + 2n,143 + n,149 + n,1.333 + 2n,2.82 + 2n,23.538 + 2n,11.29 + n,30.471 + n
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,109.941 + 3n,143.728 + 3n,79.201 + 3n,,35.228 + 2n,67.354 + 3n,98.274 + 3n,43.756 + 3n,,20.466 + 2n,42.587 + 3n,45.454 + 3n,35.445 + 3n,,14.762 + 2n,6.432 + 3n,6.562 + 3n,0.314 + 3n,,-0.001 + 2n,5.328 + 3n,5.439 + 3n,0.372 + 3n,,0 + 2n,831 + 3n,690 + 3n,349 + 3n,,109 + 2n,43.067 + 3n,100.239 + 3n,65.833 + 3n,,20.869 + 2n
Sector 31-33 Industrias manufactureras,1982.917 + 3n,1766.166,2972.392,3605.976,3129.536,1308.631 + 3n,1318.377,2464.634,2612.331,1870.802,674.286 + 3n,447.789,507.758,993.645,1258.734,43.745 + 3n,-46.986,5.586,-51.74,255.789,-24.989 + 3n,37.754,7.352,10.82,178.926,5083 + 3n,4889,4206,4933,4080,401.207 + 3n,908.919,1013.962,1329.678,1171.937
Sector 43 Comercio al por mayor,530.807 + 3n,787.727 + 2n,1009.325 + 5n,1892.11 + 6n,3003.281 + 4n,94.829 + 3n,290.177 + 2n,279.072 + 5n,434.984 + 6n,637.448 + 4n,435.978 + 3n,497.55 + 2n,730.253 + 5n,1457.126 + 6n,2365.833 + 4n,31.627 + 3n,49.811 + 2n,65.762 + 5n,51.193 + 6n,-13.62 + 4n,9.622 + 3n,22.294 + 2n,17.754 + 5n,24.256 + 6n,54.558 + 4n,1802 + 3n,2236 + 2n,2154 + 5n,2525 + 6n,2672 + 4n,165.075 + 3n,367.685 + 2n,326.687 + 5n,680.371 + 6n,840.036 + 4n
Sector 46 Comercio al por menor,792.725,989.599,1096.107,2349.035,3345.118,196.568,346.92,357.153,679.723,844.804,596.157,642.679,738.954,1669.312,2500.314,73.194,88.029,39.922,49.439,62.937,26.602,33.132,29.819,49.811,37.289,9458,10615,9453,9573,11724,429.885,599.053,741.149,1878.686,1511.168
"Sector 48-49 Transportes, correos y almacenamiento",328.06 + 3n,174.612 + 2n,523.859 + 3n,496.481 + 6n,725.656 + 5n,206.312 + 3n,107.101 + 2n,366.611 + 3n,293.951 + 6n,343.501 + 5n,121.748 + 3n,67.511 + 2n,157.248 + 3n,202.53 + 6n,382.155 + 5n,19.795 + 3n,7.865 + 2n,39.109 + 3n,-0.716 + 6n,125.676 + 5n,15.085 + 3n,8.329 + 2n,39.189 + 3n,-0.783 + 6n,125.717 + 5n,1359 + 3n,612 + 2n,1363 + 3n,736 + 6n,1333 + 5n,281.957 + 3n,264.655 + 2n,252.968 + 3n,335.933 + 6n,983.575 + 5n
Sector 51 Información en medios masivos,24.478 + 3n,36.939 + n,2.48 + 7n,64.41 + 4n,52.299 + 6n,14.143 + 3n,20.007 + n,1.156 + 7n,27.953 + 4n,21.841 + 6n,10.335 + 3n,16.932 + n,1.324 + 7n,36.457 + 4n,30.458 + 6n,0.955 + 3n,3.174 + n,0 + 7n,-0.005 + 4n,0.004 + 6n,1.201 + 3n,3.174 + n,0 + 7n,0.019 + 4n,0 + 6n,114 + 3n,96 + n,7 + 7n,134 + 4n,64 + 6n,26.627 + 3n,45.912 + n,6.609 + 7n,7.847 + 4n,12.547 + 6n
Sector 52 Servicios financieros y de seguros,9.284 + 2n,41.216 + 9n,26.624 + 8n,99.893 + 7n,130.084 + 6n,2.652 + 2n,12.005 + 9n,10.778 + 8n,69.14 + 7n,44.545 + 6n,6.632 + 2n,29.211 + 9n,15.846 + 8n,30.753 + 7n,85.539 + 6n,0.007 + 2n,0.299 + 9n,1.937 + 8n,0.393 + 7n,1.742 + 6n,-0.014 + 2n,0.091 + 9n,1.904 + 8n,0.393 + 7n,1.742 + 6n,40 + 2n,124 + 9n,152 + 8n,131 + 7n,132 + 6n,4.76 + 2n,4.425 + 9n,10.927 + 8n,12.429 + 7n,14.51 + 6n
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,12.841 + 4n,12.118 + 2n,14.042 + n,22.899 + 2n,43.635 + 2n,5.287 + 4n,7.276 + 2n,5.891 + n,9.2 + 2n,19.119 + 2n,7.554 + 4n,4.842 + 2n,8.151 + n,13.699 + 2n,24.516 + 2n,1.03 + 4n,0.475 + 2n,0.797 + n,-1.659 + 2n,4.669 + 2n,1.015 + 4n,0.48 + 2n,0.692 + n,-1.619 + 2n,0.127 + 2n,170 + 4n,187 + 2n,199 + n,218 + 2n,329 + 2n,21.816 + 4n,25.313 + 2n,38.473 + n,56.478 + 2n,83.999 + 2n
"Sector 54 Servicios profesionales, científicos y técnicos",32.345,42.576 + 3n,44.72 + 4n,60.243 + 4n,81.735 + 4n,9.366,12.961 + 3n,14.922 + 4n,18.739 + 4n,25.091 + 4n,22.979,29.615 + 3n,29.798 + 4n,41.504 + 4n,56.644 + 4n,1.532,0.336 + 3n,0.795 + 4n,0.118 + 4n,0.434 + 4n,1.383,0.342 + 3n,0.781 + 4n,0.144 + 4n,0.636 + 4n,450,568 + 3n,511 + 4n,449 + 4n,517 + 4n,21.355,20.838 + 3n,25.368 + 4n,33.024 + 4n,49.255 + 4n
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",52.514 + 6n,30.051 + 4n,41.585 + 5n,406.819 + 8n,85.573 + 7n,19.98 + 6n,14.557 + 4n,42.619 + 5n,207.227 + 8n,25.601 + 7n,32.534 + 6n,15.494 + 4n,-1.034 + 5n,199.592 + 8n,59.972 + 7n,0.73 + 6n,2.09 + 4n,1.647 + 5n,-9.327 + 8n,1.142 + 7n,0.724 + 6n,2.099 + 4n,1.609 + 5n,-9.316 + 8n,1.127 + 7n,403 + 6n,340 + 4n,362 + 5n,1006 + 8n,215 + 7n,44.251 + 6n,16.764 + 4n,25.596 + 5n,65.571 + 8n,21.202 + 7n
Sector 61 Servicios educativos,37.57 + 3n,39.903 + 2n,147.397 + 4n,872.023 + 6n,123.128 + 2n,13.774 + 3n,9.764 + 2n,27.251 + 4n,471.657 + 6n,42.766 + 2n,23.796 + 3n,30.139 + 2n,120.146 + 4n,400.366 + 6n,80.362 + 2n,0.654 + 3n,0.073 + 2n,8.891 + 4n,0.35 + 6n,0.052 + 2n,0.639 + 3n,0.073 + 2n,8.856 + 4n,0.325 + 6n,0.052 + 2n,529 + 3n,514 + 2n,741 + 4n,970 + 6n,598 + 2n,20.775 + 3n,28.149 + 2n,88.643 + 4n,761.217 + 6n,90.27 + 2n
Sector 62 Servicios de salud y de asistencia social,29.293 + 4n,43.11 + 3n,57.241 + 4n,99.524 + 3n,206.887 + 2n,9.031 + 4n,17.444 + 3n,21.962 + 4n,51.527 + 3n,69.455 + 2n,20.262 + 4n,25.666 + 3n,35.279 + 4n,47.997 + 3n,137.432 + 2n,1.292 + 4n,1.065 + 3n,6.043 + 4n,1.594 + 3n,2.004 + 2n,1.096 + 4n,1.003 + 3n,5.887 + 4n,1.591 + 3n,1.935 + 2n,374 + 4n,634 + 3n,577 + 4n,783 + 3n,947 + 2n,30 + 4n,29.169 + 3n,51.944 + 4n,110.508 + 3n,152.59 + 2n
