Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C,0 + 4C
Sector 23 Construcción,725.859 + C,2638.352,1087.309 + C,1366.597 + C,2006.778 + C,379.892 + C,1794.004,702.824 + C,829.496 + C,1141.19 + C,345.967 + C,844.348,384.485 + C,537.101 + C,865.588 + C,5.715 + C,59.964,1.968 + C,5.35 + C,3.301 + C,4.461 + C,49.327,4.917 + C,4.976 + C,2.647 + C,3214 + C,6784,1903 + C,1986 + C,2044 + C,105.967 + C,502.821,397.654 + C,284.447 + C,627.708 + C
Sector 31-33 Industrias manufactureras,17768.566 + C,21657.729 + C,24109.505 + C,48018.361 + C,62711.848,5770.733 + C,10614.197 + C,12847.215 + C,23626.186 + C,24518.713,11997.833 + C,11043.532 + C,11262.29 + C,24392.175 + C,38193.135,779.681 + C,916.671 + C,802.605 + C,873.595 + C,821.066,687.196 + C,592.139 + C,819.549 + C,841.858 + C,777.729,66389 + C,65643 + C,68683 + C,93436 + C,91713,4680.418 + C,6142.868 + C,11792.393 + C,14860.763 + C,14466.462
Sector 43 Comercio al por mayor,2132.293 + C,1574.327 + C,1500.35 + C,2620.567 + C,6263.472 + C,471.365 + C,764.035 + C,553.025 + C,928.84 + C,1526.687 + C,1660.928 + C,810.292 + C,947.325 + C,1691.727 + C,4736.785 + C,89.545 + C,111.273 + C,61.415 + C,453.406 + C,-30.536 + C,67.546 + C,72.219 + C,45.552 + C,484.876 + C,93.217 + C,5050 + C,5055 + C,4298 + C,4788 + C,5779 + C,718.802 + C,1091.496 + C,1120.183 + C,3418.154 + C,3791.706 + C
Sector 46 Comercio al por menor,2613.122,3284.207,4251.107,10037.036,15906.051,807.626,1457.909,1582.068,2909.849,3252.262,1805.496,1826.298,2669.039,7127.187,12653.789,208.997,253.932,-2025.509,335.334,478.619,89.29,192.865,-2195.901,283.967,235.766,23649,26299,24394,25270,33818,1530.594,2669.169,3414.731,4365.76,7600.917
"Sector 48-49 Transportes, correos y almacenamiento",756.415,1164.37 + C,1825.407 + 2C,5560.904,5870.635,315.413,613.804 + C,1258.308 + 2C,2434.323,2821.694,441.002,550.566 + C,567.099 + 2C,3126.581,3048.941,22.989,160.677 + C,46.293 + 2C,39.352,293.629,21.084,158.368 + C,46.877 + 2C,40.112,293.658,2214,2795 + C,5038 + 2C,5245,6433,469.141,1299.984 + C,1426.815 + 2C,2285.149,3356.722
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,916.024,678.374 + C,193.562 + C,475.213,865.311,406.733,510.592 + C,99.919 + C,162.986,277.956,509.291,167.782 + C,93.643 + C,312.227,587.355,332.669,1 + C,9.936 + C,7.204,23.941,391.887,2.363 + C,9.382 + C,7.595,23.765,1105,1146 + C,890 + C,1081,1587,3713.099,251.576 + C,339.563 + C,491.599,506.886
Sector 62 Servicios de salud y de asistencia social,224.291,426.511 + C,556.886,904.989,1634.62 + C,76.303,206.228 + C,261.42,443.336,602.829 + C,147.988,220.283 + C,295.466,461.653,1031.791 + C,7.576,12.493 + C,29.973,26.934,20.891 + C,7.709,11.927 + C,28.913,27.142,22.857 + C,1784,2987 + C,3620,4033,4195 + C,227.842,318.908 + C,315.787,442.982,552.836 + C
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",64.757 + C,111.391 + C,92.844 + C,91.216,284.197,38.202 + C,53.251 + C,33.522 + C,38.711,81.535,26.555 + C,58.14 + C,59.322 + C,52.505,202.662,0.391 + C,1.116 + C,0.85 + C,0.646,12.943,0.341 + C,1.124 + C,0.71 + C,0.657,12.94,321 + C,784 + C,602 + C,747,937,27.402 + C,107.556 + C,67.87 + C,52.357,289.831
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,826.257,1293.045 + C,1438.34 + C,2783.022 + C,5807.244,449.479,717.33 + C,876.353 + C,1583.341 + C,2771.957,376.778,575.715 + C,561.987 + C,1199.681 + C,3035.287,5.781,13.839 + C,26.226 + C,41.792 + C,16.303,5.613,13.746 + C,26.516 + C,39.959 + C,16.862,5953,8528 + C,7412 + C,10090 + C,13206,672.566,709.312 + C,498.186 + C,958.541 + C,1656.946
