Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C,0 + 4C,0 + 4C,0 + 4C,0 + 3C,0 + 3C
Sector 31-33 Industrias manufactureras,24683.063 + C,76503.742 + C,62434.286,79038.611,119734.899,12978.174 + C,43357.057 + C,34488.417,45523.728,44995.598,11704.889 + C,33146.685 + C,27945.869,33514.883,74739.301,413.761 + C,883.62 + C,882.041,1165.08,1670.941,394.492 + C,716.781 + C,924.56,1093.389,1850.633,82186 + C,108895 + C,104708,147832,161798,5464.953 + C,10890.321 + C,18125.056,19533.917,28390.64
Sector 43 Comercio al por mayor,2037.992 + 2C,2753.408 + C,3333.241 + 2C,6595.604 + 2C,8958.169 + 2C,659.338 + 2C,998.468 + C,1290.923 + 2C,1306.483 + 2C,2132.285 + 2C,1378.654 + 2C,1754.94 + C,2042.318 + 2C,5289.121 + 2C,6825.884 + 2C,116.203 + 2C,123.028 + C,43.352 + 2C,259.618 + 2C,134.318 + 2C,58.192 + 2C,42.076 + C,54.329 + 2C,302.636 + 2C,148.164 + 2C,5321 + 2C,6736 + C,7273 + 2C,7353 + 2C,9942 + 2C,756.347 + 2C,1067.986 + C,1675.33 + 2C,2503.323 + 2C,2274.732 + 2C
Sector 46 Comercio al por menor,3793.437,5064.38,6528.759,15338.949,21723.949,1049.316,1987.266,2378.285,4228.786,5491.136,2744.121,3077.114,4150.474,11110.163,16232.813,209.447,307.604,-2632.352,771.708,570.093,83.083,213.6,-2718.108,711.576,396.565,26182,31963,32848,35578,44965,1660.172,2550.25,3815.312,8450.56,8118.643
"Sector 48-49 Transportes, correos y almacenamiento",1315.501 + C,2242.217,3019.913 + C,3791.138,9600.801,592.623 + C,646.75,1668.397 + C,2078.456,4507.023,722.878 + C,1595.467,1351.516 + C,1712.682,5093.778,37.023 + C,111.555,306.267 + C,91.659,722.203,35.702 + C,111.212,306.803 + C,113.238,722.939,3486 + C,3341,5664 + C,7836,11110,813.528 + C,2551.249,3785.179 + C,4242.329,5773.853
Sector 52 Servicios financieros y de seguros,183.043,121.618 + C,247.193 + C,588.479 + C,730.319,88.088,72.299 + C,115.503 + C,441.511 + C,349.215,94.955,49.319 + C,131.69 + C,146.968 + C,381.104,2.45,0.232 + C,2.23 + C,2.899 + C,1.124,1.202,0.737 + C,2.203 + C,3.128 + C,1.655,519,701 + C,818 + C,1351 + C,1027,26.583,27.925 + C,39.268 + C,133.197 + C,213.132
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,553.527,744.85 + C,829.419,685.98,722.844 + C,183.886,342.56 + C,491.131,303.559,290.651 + C,369.641,402.29 + C,338.288,382.421,432.193 + C,47.755,27.156 + C,10.183,45.286,37.781 + C,46.947,27.146 + C,9.783,43.524,40.407 + C,1897,2623 + C,2542,1768,2219 + C,532.573,300.812 + C,444.965,629.207,348.323 + C
"Sector 54 Servicios profesionales, científicos y técnicos",1388.701 + C,1715.371,2248.124,947.386 + C,1416.129 + C,391.21 + C,757.585,1765.407,408.997 + C,603.441 + C,997.491 + C,957.786,482.717,538.389 + C,812.688 + C,320.526 + C,42.919,13.238,23.83 + C,-0.428 + C,320.363 + C,42.985,13.411,23.894 + C,4.923 + C,1857 + C,3723,2770,2268 + C,2317 + C,1412.288 + C,552.863,984.891,399.461 + C,305.061 + C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",634.194,2159.408 + C,2172.241,2653.008,1874.784,328.566,490.527 + C,916.946,982.715,646.822,305.628,1668.881 + C,1255.295,1670.293,1227.962,1.887,-2.843 + C,12.522,44.435,21.154,3.517,1.109 + C,10.82,45.174,20.818,2991,8784 + C,9174,8011,4095,97.736,176.649 + C,269.916,839.258,1441.054
Sector 62 Servicios de salud y de asistencia social,292.071 + C,589.442 + C,615.12,1070.217,2272.485 + C,135.216 + C,252.25 + C,261.161,506.193,1012.277 + C,156.855 + C,337.192 + C,353.959,564.024,1260.208 + C,6.282 + C,26.1 + C,9.054,28.607,65.115 + C,5.616 + C,26.775 + C,7.628,27.449,65.704 + C,2023 + C,4070 + C,3682,4398,5365 + C,192.195 + C,296.843 + C,284.081,638.021,762.911 + C
