Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",40.064,62.708,33.168,45.9,64.097,11.298,16.972,15.386,23.291,28.997,28.766,45.736,17.782,22.609,35.1,1.894,2.356,0.89,0.02,2.762,1.894,2.356,0.89,0.02,2.762,432,520,463,296,281,16.994,25.624,25.001,31.509,83.414
Sector 21 Minería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 23 Construcción,,,,38.583 + n,36.444 + 2n,,,,29.947 + n,28.036 + 2n,,,,8.636 + n,8.408 + 2n,,,,-0.27 + n,0.795 + 2n,,,,-0.27 + n,0.81 + 2n,,,,90 + n,51 + 2n,,,,9.464 + n,20.092 + 2n
Sector 31-33 Industrias manufactureras,236.828,211.593,366.161 + n,360.161,513.684,70.079,80.119,254.986 + n,173.443,306.343,166.749,131.474,111.175 + n,186.718,207.341,6.178,-22.275,3.204 + n,10.565,1.898,1.204,2.156,2.538 + n,10.051,2.104,2942,1931,1262 + n,1654,926,73.358,61.013,149.678 + n,115.544,110.819
Sector 43 Comercio al por mayor,223.267 + 2n,116.672 + n,79.699 + n,281.967 + n,489.81,33.466 + 2n,42.02 + n,19.223 + n,117.323 + n,99.65,189.801 + 2n,74.652 + n,60.476 + n,164.644 + n,390.16,8.398 + 2n,15.979 + n,-0.292 + n,-2.893 + n,14.42,0.928 + 2n,12.267 + n,0.6 + n,8.006 + n,8.124,512 + 2n,432 + n,294 + n,585 + n,401,50.35 + 2n,121.087 + n,46.677 + n,430.747 + n,191.116
Sector 46 Comercio al por menor,356.422,364.413,508.684,1064.279,2184.282,81.23,140.518,137.642,251.388,623.81,275.192,223.895,371.042,812.891,1560.472,18.579,35.081,18.063,45.353,-30.362,5.92,28.149,8.543,27.786,-11.684,3065,3832,3185,3734,3873,178.47,311.109,300.697,474.166,688.934
"Sector 48-49 Transportes, correos y almacenamiento",74.993,104.274 + n,78.014 + n,140.927 + n,265.767,14.615,21.733 + n,31.466 + n,77.008 + n,126.436,60.378,82.541 + n,46.548 + n,63.919 + n,139.331,0.844,1.021 + n,0.021 + n,1.274 + n,-0.01,0.863,1.021 + n,0.015 + n,1.274 + n,0,220,167 + n,204 + n,312 + n,309,17.409,18.803 + n,42.244 + n,183.019 + n,106.54
Sector 51 Información en medios masivos,10.194 + 3n,6.637 + 2n,5.503 + n,,,5.075 + 3n,4.777 + 2n,2.286 + n,,,5.119 + 3n,1.86 + 2n,3.217 + n,,,0.141 + 3n,0.447 + 2n,0.015 + n,,,0.14 + 3n,0.447 + 2n,0.01 + n,,,102 + 3n,60 + 2n,46 + n,,,2.501 + 3n,3.46 + 2n,2.92 + n,,
Sector 52 Servicios financieros y de seguros,7.503 + 2n,11.188 + 3n,24.951 + n,69.504 + n,136.234,3.521 + 2n,6.84 + 3n,11.062 + n,45.329 + n,56.793,3.982 + 2n,4.348 + 3n,13.889 + n,24.175 + n,79.441,-0.014 + 2n,0 + 3n,0.09 + n,0.112 + n,-0.153,0.025 + 2n,0 + 3n,0.09 + n,0.113 + n,5.456,50 + 2n,44 + 3n,73 + n,108 + n,102,2.922 + 2n,2.728 + 3n,20.525 + n,14.641 + n,14.835
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,7.642 + n,39.112 + n,19.562 + n,14.895 + n,21.581 + n,3.443 + n,26.567 + n,7.063 + n,4.567 + n,7.921 + n,4.199 + n,12.545 + n,12.499 + n,10.328 + n,13.66 + n,0.146 + n,0.353 + n,0.175 + n,0.517 + n,-0.622 + n,0.124 + n,0.235 + n,0.094 + n,0.496 + n,-0.602 + n,104 + n,175 + n,124 + n,133 + n,125 + n,17.251 + n,34.284 + n,33.166 + n,68.283 + n,66.837 + n
"Sector 54 Servicios profesionales, científicos y técnicos",13.085,22.829,16.976,31.098,63.624 + 2n,4.227,7.692,7.316,12.044,16.394 + 2n,8.858,15.137,9.66,19.054,47.23 + 2n,0.431,0.983,0.229,0.638,-4.634 + 2n,0.428,0.97,0.229,0.648,-4.631 + 2n,140,208,160,185,206 + 2n,13.455,14.6,17.202,25.311,28.36 + 2n
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.941 + 2n,2.069 + 2n,6.505 + 2n,8.79 + n,2.86 + n,0.531 + 2n,0.927 + 2n,2.148 + 2n,5.398 + n,1.749 + n,0.41 + 2n,1.142 + 2n,4.357 + 2n,3.392 + n,1.111 + n,0.116 + 2n,0.112 + 2n,0.286 + 2n,0.462 + n,0.001 + n,0.112 + 2n,0.11 + 2n,0.25 + 2n,0.037 + n,0 + n,16 + 2n,47 + 2n,61 + 2n,50 + n,24 + n,0.561 + 2n,2.302 + 2n,2.941 + 2n,5.1 + n,1.583 + n
Sector 61 Servicios educativos,5.757 + 3n,11.26 + 2n,7.969 + n,23.173 + n,12.659 + n,1.646 + 3n,6.157 + 2n,1.646 + n,4.655 + n,2.261 + n,4.111 + 3n,5.103 + 2n,6.323 + n,18.518 + n,10.398 + n,0.05 + 3n,0.042 + 2n,0.048 + n,0.005 + n,0.02 + n,0.05 + 3n,0.042 + 2n,0.048 + n,0 + n,0.02 + n,227 + 3n,244 + 2n,135 + n,261 + n,78 + n,1.718 + 3n,3.362 + 2n,7.978 + n,19.189 + n,3.614 + n
Sector 62 Servicios de salud y de asistencia social,37.263,43.7,47.865 + n,71.747 + n,120.514 + n,13.78,18.575,24.177 + n,31.68 + n,41.348 + n,23.483,25.125,23.688 + n,40.067 + n,79.166 + n,1.291,1.784,0.625 + n,1.841 + n,10.109 + n,1.05,1.736,0.623 + n,1.858 + n,10.123 + n,325,473,400 + n,479 + n,427 + n,38.959,46.734,60.312 + n,85.608 + n,106.845 + n
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.228 + 3n,5.355 + n,5.149 + n,5.285 + 2n,10.738 + 2n,0.139 + 3n,2.526 + n,2.03 + n,2.472 + 2n,4.326 + 2n,0.089 + 3n,2.829 + n,3.119 + n,2.813 + 2n,6.412 + 2n,0.005 + 3n,0 + n,1.048 + n,0.27 + 2n,-4.333 + 2n,0 + 3n,0 + n,1.05 + n,0.263 + 2n,-4.333 + 2n,3 + 3n,95 + n,48 + n,56 + 2n,55 + 2n,0.175 + 3n,7.303 + n,9.744 + n,15.152 + 2n,19.197 + 2n
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,78.028,137.863,150.303,279.384,505.156,46.855,66.332,90.89,164.973,265.113,31.173,71.531,59.413,114.411,240.043,0.815,5.362,0.348,-0.054,-1.914,0.75,5.19,0.533,-0.274,-1.658,766,1209,1012,1392,1490,53.367,184.338,42.051,156.874,194.55
