Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",453.232,535.113,245.99,1334.159,2277.344 + n,185.501,255.46,158.633,664.229,986.58 + n,267.731,279.653,87.357,669.93,1290.764 + n,7.737,6.001,1.864,6.957,0.121 + n,7.737,6.001,1.864,7.007,0.121 + n,2483,2916,1791,2626,2693 + n,371.362,411.69,293.707,352.256,559.167 + n
Sector 21 Minería,4853.155 + n,,,,,370.963 + n,,,,,4482.192 + n,,,,,72.272 + n,,,,,41.837 + n,,,,,3465 + n,,,,,6531.212 + n,,,,
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,5819.587 + 2n,,,,,3285.788 + 2n,,,,,2533.799 + 2n,,,,,373.341 + 2n,,,,,379.823 + 2n,,,,,771 + 2n,,,,,12137.961 + 2n
Sector 23 Construcción,2139.648 + n,3834.829 + n,3548.298,3407.963 + n,5599.42 + n,1420.158 + n,2418.96 + n,2396.504,2231.214 + n,3575.876 + n,719.49 + n,1415.869 + n,1151.794,1176.749 + n,2023.544 + n,32.373 + n,48.114 + n,69.629,29.348 + n,23.878 + n,27.879 + n,41.311 + n,73.815,30.281 + n,21.316 + n,10546 + n,12789 + n,7307,6580 + n,6822 + n,522.537 + n,811.411 + n,1138.632,1044.723 + n,1970.66 + n
Sector 31-33 Industrias manufactureras,44284.17,124263.357,168049.122,215329.953,195409.43,35515.724,116644.708,145600.862,171155.532,133925.533,8768.446,7618.649,22448.26,44174.421,61483.897,6763.221,1094.4,1444.747,9818.509,393.325,2638.932,1266.477,2583.674,9788.52,1493.757,23185,21783,19992,31783,29518,24725.269,33498.809,59683.13,52490.653,52341.52
Sector 43 Comercio al por mayor,3936.191,4155.435,4804.11,11303.283,13159.868,2004.383,1518.916,1817.844,2255.987,3276.83,1931.808,2636.519,2986.266,9047.296,9883.038,175.471,264.547,248.255,243.16,152.542,84.338,124.478,145.717,493.195,160.992,8430,9437,9346,9669,10206,4820.36,1859.628,2154.917,3221.89,3132.942
Sector 46 Comercio al por menor,4893.06,6285.09,8870.116,15163.38,20384.279,1400.463,2695.31,3070.393,4990.481,5378.601,3492.597,3589.78,5799.723,10172.899,15005.678,393.974,425.392,353.84,466.238,1172.256,106.266,293.057,235.374,542.286,528.464,35230,36950,36055,41082,42147,2320.576,3249.787,4026.022,7612.211,7155.378
"Sector 48-49 Transportes, correos y almacenamiento",2708.465,4117.014,5776.762,10152.734 + n,17168.808 + n,1473.03,1614.011,2798.457,4776.638 + n,7811.099 + n,1235.435,2503.003,2978.305,5376.096 + n,9357.709 + n,339.782,361.027,1087.157,582.609 + n,436.484 + n,339.212,363.201,1020.816,582.55 + n,436.366 + n,5591,6265,7999,13826 + n,15180 + n,2887.213,4877.207,13721.411,14704.367 + n,18709.617 + n
Sector 51 Información en medios masivos,1382.221 + n,4922.968,76.61 + 2n,1247.318 + 2n,,897.983 + n,3438.182,16.046 + 2n,499.998 + 2n,,484.238 + n,1484.786,60.564 + 2n,747.32 + 2n,,73.988 + n,292.144,0.08 + 2n,22.48 + 2n,,50.683 + n,220.785,0.08 + 2n,23.013 + 2n,,1735 + n,2435,160 + 2n,1561 + 2n,,1691.224 + n,2272.272,19.681 + 2n,249.903 + 2n,
Sector 52 Servicios financieros y de seguros,226.653 + n,168.943 + n,671.613 + n,928.934,1206.289,96.731 + n,62.387 + n,104.397 + n,727.45,767.5,129.922 + n,106.556 + n,567.216 + n,201.484,438.789,8.298 + n,18.499 + n,1.036 + n,12.895,15.868,8.326 + n,16.499 + n,0.954 + n,10.546,15.873,385 + n,826 + n,771 + n,1859,1530,54.194 + n,61.418 + n,37.975 + n,135.16,260.241
